Video ID,Title,Transcript,Combined_Text
L59jXhtPvNM,Decoding Burger King's $6.50 Impossible Burger! 🍔  #BurgerKing #DrBerg,all right today we're going to talk about Burger King and the impossible burger that you can get for $6.50 so the first ingredient is this,Decoding Burger King's $6.50 Impossible Burger! 🍔  #BurgerKing #DrBerg all right today we're going to talk about Burger King and the impossible burger that you can get for $6.50 so the first ingredient is this
A2x33zFsTLA,My terrible painful heartburn was the best thing that ever happened to me #drberg #heartburn,my terrible painful heartburn was the best thing that ever happened to me there are three things to do but one of these things that I'm going to share with you will actually correct it let's,My terrible painful heartburn was the best thing that ever happened to me #drberg #heartburn my terrible painful heartburn was the best thing that ever happened to me there are three things to do but one of these things that I'm going to share with you will actually correct it let's
afWHeLiejPY,Top 3 Intermittent Fasting Tips To Lose Belly Fat🔥 #bellyfat #fatloss #weightloss,to lose your belly fat there are three tips that you need to know relating to doing intermittent fasting and one of these tips is way more important than the others tip number one make sure you,Top 3 Intermittent Fasting Tips To Lose Belly Fat🔥 #bellyfat #fatloss #weightloss to lose your belly fat there are three tips that you need to know relating to doing intermittent fasting and one of these tips is way more important than the others tip number one make sure you
ntQ5IbULu7U,Experiencing one-sided inflammation? It might be linked to your gallbladder #HealthyLifestyle,if you have any inflammation on the right side of your body okay I don't care if it's fibromyalgia or shoulder pain or a headache on the right side or anything down in the lower part of your,Experiencing one-sided inflammation? It might be linked to your gallbladder #HealthyLifestyle if you have any inflammation on the right side of your body okay I don't care if it's fibromyalgia or shoulder pain or a headache on the right side or anything down in the lower part of your
W_8nrFXzw_4,"Notice chronic cough, fatigue, or cramps? They could indicate calcium or magnesium deficiency",if you are deficient in calcium you may find that you have this chronic cough okay and you may find that um you're tired but you just can't go to sleep,"Notice chronic cough, fatigue, or cramps? They could indicate calcium or magnesium deficiency if you are deficient in calcium you may find that you have this chronic cough okay and you may find that um you're tired but you just can't go to sleep"
pY1fV-P1YnI,Maximize vitamin D benefits with vitamin K2! ☀️ Pairing them is key to regulating calcium absorption,you know I talk a lot about vitamin D but I wouldn't recommend taking vitamin D by itself I would always take vitamin K2 with vitamin D because vitamin D3 increases calcium absorption in your,Maximize vitamin D benefits with vitamin K2! ☀️ Pairing them is key to regulating calcium absorption you know I talk a lot about vitamin D but I wouldn't recommend taking vitamin D by itself I would always take vitamin K2 with vitamin D because vitamin D3 increases calcium absorption in your
6nnp1YJF1OA,"Hardee's meal: fries in inflammatory oils, honey mustard, and MSG-laden chicken tenders #hardees",all right so today we're at one of my favorite restaurants paries okay so today we have some fries which is a great combination between soy or corn,"Hardee's meal: fries in inflammatory oils, honey mustard, and MSG-laden chicken tenders #hardees all right so today we're at one of my favorite restaurants paries okay so today we have some fries which is a great combination between soy or corn"
DavA5kfaqaU,Unlock the power of cinnamon in your spice rack! 🌿  #NaturalRemedies #DrBerg,you know so many people have blood sugar problems they're worried about their diabetes pre-diabetes Etc well in your cupboard right now you probably have an amazing remedy it's in the spice rack,Unlock the power of cinnamon in your spice rack! 🌿  #NaturalRemedies #DrBerg you know so many people have blood sugar problems they're worried about their diabetes pre-diabetes Etc well in your cupboard right now you probably have an amazing remedy it's in the spice rack
nqpMzWGPxHo,"Less than 5 hours of sleep harms health, affecting workout recovery, and  promoting weight gain",if you can't sleep right you're getting less than 5 hours and you have this sympathetic overdrive and you're trying to lose weight good luck it's not going to happen in fact you can work with,"Less than 5 hours of sleep harms health, affecting workout recovery, and  promoting weight gain if you can't sleep right you're getting less than 5 hours and you have this sympathetic overdrive and you're trying to lose weight good luck it's not going to happen in fact you can work with"
o_SS8cGGFbI,"If your rib and spine feel restricted, it can negatively impact your breathing. #DrBerg",so you have the spine you have all these different ribs that connect to the spine but this articulation between the rib and the spine and your back if it's,"If your rib and spine feel restricted, it can negatively impact your breathing. #DrBerg so you have the spine you have all these different ribs that connect to the spine but this articulation between the rib and the spine and your back if it's"
yUNWFEiJb6I,"At McDonald's today, delving into the addictive snacks! 🍟 Let's talk about what's inside #McDonalds",all right rabbit D today and we want to talk about these right here um man are these addictive so you have a combination of different oils they're all seed oils corn canola soy soy,"At McDonald's today, delving into the addictive snacks! 🍟 Let's talk about what's inside #McDonalds all right rabbit D today and we want to talk about these right here um man are these addictive so you have a combination of different oils they're all seed oils corn canola soy soy"
z4Lx1x6mNVc,Let's talk about the vital balance between CO2 and oxygen – the balance that keeps us thriving,what does acid reflex or silent reflex have to do with your breathing well apparently there's a lot of um sensory nerves in your esophagus that go right to your brain and that will give your,Let's talk about the vital balance between CO2 and oxygen – the balance that keeps us thriving what does acid reflex or silent reflex have to do with your breathing well apparently there's a lot of um sensory nerves in your esophagus that go right to your brain and that will give your
D318YEnHPeg,"Introducing AHCC: Shiitake extract fights warts, backed by 100+ trials #SkinHealth #DrBerg",so I recently did a video on how to get rid of a wart or a skin tag using this amazing amazing remedy that I just,"Introducing AHCC: Shiitake extract fights warts, backed by 100+ trials #SkinHealth #DrBerg so I recently did a video on how to get rid of a wart or a skin tag using this amazing amazing remedy that I just"
lCHoCeUdoII,Discover the fascinating link between oxygen and carbon dioxide in this captivating video! #DrBerg,what does acid reflex or silent reflex have to do with your breathing well apparently there's a lot of um sensory nerves in your esophagus that go right to your brain and that will give your,Discover the fascinating link between oxygen and carbon dioxide in this captivating video! #DrBerg what does acid reflex or silent reflex have to do with your breathing well apparently there's a lot of um sensory nerves in your esophagus that go right to your brain and that will give your
FJj5mY2KS2M,"If there is a ""health food"" section, what does that tell us about the food in the rest of the store?",so I have a question for you when you're at the grocery store and you are at the tiny little corner of the store called the health food section what does that,"If there is a ""health food"" section, what does that tell us about the food in the rest of the store? so I have a question for you when you're at the grocery store and you are at the tiny little corner of the store called the health food section what does that"
vSMmAjFCP4w,Watch this video to see the negative effects of vitamin D and magnesium deficiency #VitaminD,I'd like to talk about vitamin D and magnesium okay did you realize that the receptors for absorbing vitamin D are completely and utterly dependent on magnesium if you have no magnesium you,Watch this video to see the negative effects of vitamin D and magnesium deficiency #VitaminD I'd like to talk about vitamin D and magnesium okay did you realize that the receptors for absorbing vitamin D are completely and utterly dependent on magnesium if you have no magnesium you
f54Fr1Nidaw,Sip on the World's Healthiest Lemonade! 🍋✨  #HealthyLifestyle #DrBerg,want to show you how to make the healthiest lemonade in the world now why is it so healthy because it has zero sugars most lemonade has like 7 and 1/2,Sip on the World's Healthiest Lemonade! 🍋✨  #HealthyLifestyle #DrBerg want to show you how to make the healthiest lemonade in the world now why is it so healthy because it has zero sugars most lemonade has like 7 and 1/2
U1dEuvAFTNU,Unlock the secret to a balanced and healthy life with the power of sodium!   #DrBerg,When you sweat uh it's really salty and then also if you're drinking a lot of plain water without salt you're just going to create a situation where you're going to actually be very deficient in salt just as a side note one of the,Unlock the secret to a balanced and healthy life with the power of sodium!   #DrBerg When you sweat uh it's really salty and then also if you're drinking a lot of plain water without salt you're just going to create a situation where you're going to actually be very deficient in salt just as a side note one of the
seoNCxlrmM0,Avoid these common pitfalls in your intermittent fasting journey! 🚫 #IntermittentFasting #DrBerg,I want to discuss the top mistakes that people make when they start intermittent fasting number one eating way too much what you have to realize is that when you're not eating you are eating you're eating your own fat so it's not that,Avoid these common pitfalls in your intermittent fasting journey! 🚫 #IntermittentFasting #DrBerg I want to discuss the top mistakes that people make when they start intermittent fasting number one eating way too much what you have to realize is that when you're not eating you are eating you're eating your own fat so it's not that
Nrl_X5wE0uw,Restful nights start with stress management. Discover how to improve your sleep! #HealthyLifestyle,I want to discuss the top mistakes that people make when they start intermittent fasting number one eating way too much what you have to realize is that when you're not eating you are eating you're eating your own fat so it's not that,Restful nights start with stress management. Discover how to improve your sleep! #HealthyLifestyle I want to discuss the top mistakes that people make when they start intermittent fasting number one eating way too much what you have to realize is that when you're not eating you are eating you're eating your own fat so it's not that
vDa8341QhNw,Discover the harsh reality of weight loss drugs and their detrimental effects on your body💊 #DrBerg,so I wanted to respond to an article um on how OIC in wovi could break the Health Care system because now if you have these weight loss drugs that are actually helping people lose weight and,Discover the harsh reality of weight loss drugs and their detrimental effects on your body💊 #DrBerg so I wanted to respond to an article um on how OIC in wovi could break the Health Care system because now if you have these weight loss drugs that are actually helping people lose weight and
Hz6EBeJP3vI,Did you know that drinking too much water can actually lead to your brain becoming waterlogged?,there's even a condition called e a that's a condition where the person is water logged okay and it's creating a lot of swelling in the brain and that could easily come from just drinking too much water and this often occurs when,Did you know that drinking too much water can actually lead to your brain becoming waterlogged? there's even a condition called e a that's a condition where the person is water logged okay and it's creating a lot of swelling in the brain and that could easily come from just drinking too much water and this often occurs when
RW7STOpaRvg,"Yesterday, I asked you to guess the worst ingredient in processed foods - let's find out what it is!",you know the other day I was shopping at the grocery store and I bought this right here keto friendly Duncan hindes chewy fudge brownie mix right is it too,"Yesterday, I asked you to guess the worst ingredient in processed foods - let's find out what it is! you know the other day I was shopping at the grocery store and I bought this right here keto friendly Duncan hindes chewy fudge brownie mix right is it too"
6jSpyG0rRT0,Question time! Can you guess which sneaky ingredient in most junk foods wreaks havoc on your health?,so I have a question for you if you can answer this out of all the ingredients to ultrapress Foods or junk foods which ingredient out of all of those is the absolute worst and has the biggest,Question time! Can you guess which sneaky ingredient in most junk foods wreaks havoc on your health? so I have a question for you if you can answer this out of all the ingredients to ultrapress Foods or junk foods which ingredient out of all of those is the absolute worst and has the biggest
QifjPgYfIiE,"Stay active, and live longer! Exercise is the key to a healthy life 💪 #DrBerg #HealthyLifestyle",takes is just a little bit of exercise to produce significant health benefits and I'm talking about lowering your risk for certain diseases and increasing your longevity living longer it doesn't take,"Stay active, and live longer! Exercise is the key to a healthy life 💪 #DrBerg #HealthyLifestyle takes is just a little bit of exercise to produce significant health benefits and I'm talking about lowering your risk for certain diseases and increasing your longevity living longer it doesn't take"
aT0rBaHMRns,Did you know that a whopping 71% to 83% of grocery store calories come from ultra-processed foods?,did you realize that 71 to 83% of all the calories sold in the grocery store are what's considered ultr processed,Did you know that a whopping 71% to 83% of grocery store calories come from ultra-processed foods? did you realize that 71 to 83% of all the calories sold in the grocery store are what's considered ultr processed
iwsdIX0_qK4,Discover the shocking effects of sugar on our health. Brace yourself! #DrBerg #HealthyLifestyle,now you may just end up quitting sugar after watching this video I'm just warning you don't get mad at me I'm just the messenger there are 703 meta analysis that make up 8600 different,Discover the shocking effects of sugar on our health. Brace yourself! #DrBerg #HealthyLifestyle now you may just end up quitting sugar after watching this video I'm just warning you don't get mad at me I'm just the messenger there are 703 meta analysis that make up 8600 different
oEvhzW_lbTM,Join me on a journey to uncover the truth about coffee's influence on weight loss #coffee #drberg,"so there was a quite large study there was I think over 80,000 people involved in this study called the nurse's health study and they looked over four years of who gained weight and who didn't gain weight and they looked at variables and","Join me on a journey to uncover the truth about coffee's influence on weight loss #coffee #drberg so there was a quite large study there was I think over 80,000 people involved in this study called the nurse's health study and they looked over four years of who gained weight and who didn't gain weight and they looked at variables and"
fbIz1ozqRYQ,Have you seen this unique exercise yet?! Would you try this at home? #reaction #drberg #health,[Music],Have you seen this unique exercise yet?! Would you try this at home? #reaction #drberg #health [Music]
Y8XQNFyMe8M,"In this video, I unveil the BEST anti-inflammatory food that'll have you feeling unstoppable",what is the number one best anti-inflammatory food in the entire world can you take a guess you think it's omega-3 Fetti acids fish oils not even close there are so many things that,"In this video, I unveil the BEST anti-inflammatory food that'll have you feeling unstoppable what is the number one best anti-inflammatory food in the entire world can you take a guess you think it's omega-3 Fetti acids fish oils not even close there are so many things that"
KD2zUbWrkAM,🥦 Stay focused on your weight loss goals by avoiding unnecessary snacking! 💪 #keto #DrBerg,all right another Factor that's very important is the frequency of eating okay if you're snacking if you're eating between meals if you're even eating three meals a day that can slow things,🥦 Stay focused on your weight loss goals by avoiding unnecessary snacking! 💪 #keto #DrBerg all right another Factor that's very important is the frequency of eating okay if you're snacking if you're eating between meals if you're even eating three meals a day that can slow things
wi6SHudf2PY,"Biotin is key for healthy hair, skin, and nails. Boost your biotin intake with my biotin shampoo!",there's other things that cause a deficiency of biotin that you need to know if you consume raw egg whes because it locks up biotin if you're on the ketogenic diet your demand for biotin,"Biotin is key for healthy hair, skin, and nails. Boost your biotin intake with my biotin shampoo! there's other things that cause a deficiency of biotin that you need to know if you consume raw egg whes because it locks up biotin if you're on the ketogenic diet your demand for biotin"
32K_bo7E66M,Tune in to this video for a revealing insight into foods that trigger inflammation. 💥 #inflammation,foods that create the most inflammation would be related to something like gluten which actually is in grains most of the grains create inflammation in your gut most people with arthritis,Tune in to this video for a revealing insight into foods that trigger inflammation. 💥 #inflammation foods that create the most inflammation would be related to something like gluten which actually is in grains most of the grains create inflammation in your gut most people with arthritis
Kfn7YpAlmPs,"🍎 Who knew that the ""mother"" in your apple cider vinegar jar held such secrets?",now I hate to break this to you but that mother and the oppsite of vinegar and the bottom of the bottle is not what you think what you've been told it's a,"🍎 Who knew that the ""mother"" in your apple cider vinegar jar held such secrets? now I hate to break this to you but that mother and the oppsite of vinegar and the bottom of the bottle is not what you think what you've been told it's a"
Ba6QLhycpy8,Have you seen this unique exercise yet?! Would you try this at home? #drberg,[Music],Have you seen this unique exercise yet?! Would you try this at home? #drberg [Music]
_achdhdxIH0,"Let's build a fitness reserve, one workout at a time! 💪🏋️‍♀️  #health #keto #fitness #drberg",developing more Fitness also improves your insulin sensitivity so if you had insulin resistance at one time developing more of a fitness Reserve can greatly help your blood sugars and allow,"Let's build a fitness reserve, one workout at a time! 💪🏋️‍♀️  #health #keto #fitness #drberg developing more Fitness also improves your insulin sensitivity so if you had insulin resistance at one time developing more of a fitness Reserve can greatly help your blood sugars and allow"
gO0mUN3MAoM,Drink this once a day and watch your inflammation disappear! #DrBerg #HealthyLifestyle #Inflammation,if you wanted an amazing drink to drop inflammation in your body especially inflammation in your gut here's the best drink and this is based on a YouTube video that I did recently but I will say,Drink this once a day and watch your inflammation disappear! #DrBerg #HealthyLifestyle #Inflammation if you wanted an amazing drink to drop inflammation in your body especially inflammation in your gut here's the best drink and this is based on a YouTube video that I did recently but I will say
3BbcD0fjfno,"Thrilled to be a speaker at the Hack Your Health Event in Austin, TX. May 31st to June 2nd, 2024! 🎤",so I'm really excited to speak at the upcoming Health hacking event forly called ketocon and so the topic of my uh presentation is going to relate to the,"Thrilled to be a speaker at the Hack Your Health Event in Austin, TX. May 31st to June 2nd, 2024! 🎤 so I'm really excited to speak at the upcoming Health hacking event forly called ketocon and so the topic of my uh presentation is going to relate to the"
9vBO3ejBoMA,Anyone remember this amazing video? With the right mindset our bodies can do anything! 💪,my fair share of bumpy roads and heavy winds that's what made me what I am today now I stand here before,Anyone remember this amazing video? With the right mindset our bodies can do anything! 💪 my fair share of bumpy roads and heavy winds that's what made me what I am today now I stand here before
Ika6xrj1L40,"From improved digestion to heightened energy levels, the gluten-free journey is all about thriving!",really got to be careful of these grains uh and consume only grains if you're going to do grains at all that have no gluten and that would be oat quinoa,"From improved digestion to heightened energy levels, the gluten-free journey is all about thriving! really got to be careful of these grains uh and consume only grains if you're going to do grains at all that have no gluten and that would be oat quinoa"
8JySMhsH72M,Did you know that water does not hydrate you?😱 💦 Watch this video to learn why! #drberg #keto,does drinking water actually hydrate you the answer is it depends it depends on what's going on with sodium if you have a lot of sodium in the body and not enough water you're going to be,Did you know that water does not hydrate you?😱 💦 Watch this video to learn why! #drberg #keto does drinking water actually hydrate you the answer is it depends it depends on what's going on with sodium if you have a lot of sodium in the body and not enough water you're going to be
xsvsonsP3BU,"Join me as I react to a video claiming keto kills, but here I am, thriving! 💪🥑",ketogenic diet can absolutely kill you this is Steven L lifestyle medicine cardiologist and in this video I'm going to tell you that the ketogenic diet can absolutely kill you we're going to go,"Join me as I react to a video claiming keto kills, but here I am, thriving! 💪🥑 ketogenic diet can absolutely kill you this is Steven L lifestyle medicine cardiologist and in this video I'm going to tell you that the ketogenic diet can absolutely kill you we're going to go"
EmGwQA2C1UM,"Discover the power of leucine for healthier, more vibrant hair! #DrBerg #HairHealth #Leucine",one of the most important nutrients for your hair is a simple amino acid called Lucine without Lucine you can very easily develop alopecia thinning of the,"Discover the power of leucine for healthier, more vibrant hair! #DrBerg #HairHealth #Leucine one of the most important nutrients for your hair is a simple amino acid called Lucine without Lucine you can very easily develop alopecia thinning of the"
JeaF9HtuVxA,"Probiotics vs. Antibiotics: Know the difference, empower your health! 🌿💊#DrBerg #Health",now the second point about probotics is we have to talk about the opposite of a prootic which is an antibiotic um there are things out there that mimic antibiotics as well like glyphosate,"Probiotics vs. Antibiotics: Know the difference, empower your health! 🌿💊#DrBerg #Health now the second point about probotics is we have to talk about the opposite of a prootic which is an antibiotic um there are things out there that mimic antibiotics as well like glyphosate"
QEzFBI-Z7qY,"Food and sugar interact to create a ""bliss moment"" triggering a spike in endorphins. Did you know?",so there's a certain amount of sugar that you have to put in certain foods to optimize this Bliss moment this point of like wow this is just delicious and what,"Food and sugar interact to create a ""bliss moment"" triggering a spike in endorphins. Did you know? so there's a certain amount of sugar that you have to put in certain foods to optimize this Bliss moment this point of like wow this is just delicious and what"
z-atfvHSsqk,Non-diabetes-related factors that can spike your blood sugar #drberg #keto,there are many uh non-pathological reasons why you might have high blood glucose that don't indicate that you really have diabetes or a problem for example if you test your blood sugars,Non-diabetes-related factors that can spike your blood sugar #drberg #keto there are many uh non-pathological reasons why you might have high blood glucose that don't indicate that you really have diabetes or a problem for example if you test your blood sugars
g3zWxCcBeOY,"Watch out for poisonous mushrooms. Some varieties can be lethal, like the death cap mushroom #shorts",if you want to know the most poisonous foods on the planet and I'm not going into sugar refined carbs and Seed oils which we know create more problems than any other food now mushrooms are very,"Watch out for poisonous mushrooms. Some varieties can be lethal, like the death cap mushroom #shorts if you want to know the most poisonous foods on the planet and I'm not going into sugar refined carbs and Seed oils which we know create more problems than any other food now mushrooms are very"
2PaIdKUPDkI,Join me in-person at Symposium for Metabolic Health – Boca 2024 (Jan 12 -14),hey just want to let you know that I'm going to be speaking at the keto Summit in Florida coming up in January it's called Symposium for metabolic Health it's in boa Raton Florida January 12th,Join me in-person at Symposium for Metabolic Health – Boca 2024 (Jan 12 -14) hey just want to let you know that I'm going to be speaking at the keto Summit in Florida coming up in January it's called Symposium for metabolic Health it's in boa Raton Florida January 12th
Qk_bJoj8f-E,Have you ever heard the really interesting thing about diabetics and their high blood sugar? #keto,really interesting thing about a diabetic on a good portion of their high blood sugar it may not be 100% from the diet in fact it's not a good portion of,Have you ever heard the really interesting thing about diabetics and their high blood sugar? #keto really interesting thing about a diabetic on a good portion of their high blood sugar it may not be 100% from the diet in fact it's not a good portion of
rs6Ztq7YrpE,Need more energy? ⚡ It's all about your body's powerhouses—mitochondria #drberg #healthtips #keto,now if you want to get more energy you want to focus in on this amazing cell in your body called the mitochondria the mocher is a pre- battery machine it,Need more energy? ⚡ It's all about your body's powerhouses—mitochondria #drberg #healthtips #keto now if you want to get more energy you want to focus in on this amazing cell in your body called the mitochondria the mocher is a pre- battery machine it
B1D7bjFMPC4,Ever wondered about a slow metabolism? Let's talk about it #keto #drberg #shorts #metabolism,people that have a slow metabolism actually have a very efficient metabolism probably from dieting in the past you go on some diet and then your,Ever wondered about a slow metabolism? Let's talk about it #keto #drberg #shorts #metabolism people that have a slow metabolism actually have a very efficient metabolism probably from dieting in the past you go on some diet and then your
1RRwbp9YMLA,Do you ever wonder what the real cost of eating ultra-processed foods is? #processedfoods #health,did you realize that the average person in the US consumes like 60% of their calories from Ultra processed foods where they strip the,Do you ever wonder what the real cost of eating ultra-processed foods is? #processedfoods #health did you realize that the average person in the US consumes like 60% of their calories from Ultra processed foods where they strip the
5EnsvmwexjY,"Vitamin A is essential for your eyes, immune system, and skin—inside and out! #VitaminA #Retinol",now vitamin A is very very important in your eyes for your immune system and for your skin not just external but internal skin too the skin that aligns the inside,"Vitamin A is essential for your eyes, immune system, and skin—inside and out! #VitaminA #Retinol now vitamin A is very very important in your eyes for your immune system and for your skin not just external but internal skin too the skin that aligns the inside"
cydV-nZEyk4,"From relieving muscle tension and spasms to preventing nighttime cramps, magnesium is a game-changer",I'd like to talk about the amazing benefits of magnesium so magnesium actually helps you lower cortisol so it helps you sleep especially getting to sleep as well as staying asleep,"From relieving muscle tension and spasms to preventing nighttime cramps, magnesium is a game-changer I'd like to talk about the amazing benefits of magnesium so magnesium actually helps you lower cortisol so it helps you sleep especially getting to sleep as well as staying asleep"
Bz3DLaEF-ec,Do you ever feel like no one understands your sciatic nerve pain? Copper could be the answer! #keto,so I started looking at Copper in relationship to the satic nerve and I found some fascinating information number one there's all sorts of different types of therapy that use,Do you ever feel like no one understands your sciatic nerve pain? Copper could be the answer! #keto so I started looking at Copper in relationship to the satic nerve and I found some fascinating information number one there's all sorts of different types of therapy that use
xyNjoCrJW54,"As we age, we lose stomach acid which can cause heartburn, GERD, and acid reflux. #GutHealth #DrBerg",the pH in your stomach should be between one and three very very acidic and the purpose of that acidity is to help you break down protein is to help you absorb minerals also uh absorb,"As we age, we lose stomach acid which can cause heartburn, GERD, and acid reflux. #GutHealth #DrBerg the pH in your stomach should be between one and three very very acidic and the purpose of that acidity is to help you break down protein is to help you absorb minerals also uh absorb"
lbdYjujrBTA,Revitalize your liver health with this daily elixir! Just one cup a day can work wonders #shorts,to remove fat from your liver just drink this one cup every single day now I know you're saying no freaking way is this going to work but just hear me out it'll make sense most of the fat on our livers,Revitalize your liver health with this daily elixir! Just one cup a day can work wonders #shorts to remove fat from your liver just drink this one cup every single day now I know you're saying no freaking way is this going to work but just hear me out it'll make sense most of the fat on our livers
nTXr3WH033Y,"If you want to get the best results from your workout, it's better to exercise in a fasting state",next topic is about carbohydrates if you do a workout and you do a little snack before during or after the workout like a lot of people do they want to get those carbs in there maybe they do a,"If you want to get the best results from your workout, it's better to exercise in a fasting state next topic is about carbohydrates if you do a workout and you do a little snack before during or after the workout like a lot of people do they want to get those carbs in there maybe they do a"
vH0rhTPEShI,Feeling flat and dehydrated after going keto? Are you getting enough potassium and other nutrients?,sometimes people when they get on the ketogenic diet they feel that the muscles are just flat they kind of lost their size they look dehydrated because um when you do keto at least initially,Feeling flat and dehydrated after going keto? Are you getting enough potassium and other nutrients? sometimes people when they get on the ketogenic diet they feel that the muscles are just flat they kind of lost their size they look dehydrated because um when you do keto at least initially
tbAmKJecACA,"Back in the 50s and 60s, fewer folks were overweight #health #drberg #keto #intermittentfasting",you know slightly older people that were born in the 50s and the 60s like myself notied that there just wasn't as many overweight people back then why is that was it because we ate less saturated,"Back in the 50s and 60s, fewer folks were overweight #health #drberg #keto #intermittentfasting you know slightly older people that were born in the 50s and the 60s like myself notied that there just wasn't as many overweight people back then why is that was it because we ate less saturated"
PF1siw7tXeY,Did you know that kefir can help you get better sleep? 😴 #SleepTips #DrBerg,so these microbes from kefir actually go into the body and they inoculate or seed your microbes to help you grow more microbes and actually the right balance,Did you know that kefir can help you get better sleep? 😴 #SleepTips #DrBerg so these microbes from kefir actually go into the body and they inoculate or seed your microbes to help you grow more microbes and actually the right balance
HR2ogA32znQ,"Are you experiencing thinning hair, hair loss, or skin rashes? #Biotin #HairCare #SkinCare #DrBerg",now as you see when you buy biotin supplements or you see them in certain shampoos you'll see very high amounts of biotin now is that a problem uh not necessarily because biotin is water,"Are you experiencing thinning hair, hair loss, or skin rashes? #Biotin #HairCare #SkinCare #DrBerg now as you see when you buy biotin supplements or you see them in certain shampoos you'll see very high amounts of biotin now is that a problem uh not necessarily because biotin is water"
4UFJDlYNraw,Feeling overwhelmed by the effects of diabetes? Remember to keep insulin levels balanced and normal,insulin is really necessary it's a normal hormone we want it normal we don't want it too high or too low and unless you're a type 1 diabetic and have,Feeling overwhelmed by the effects of diabetes? Remember to keep insulin levels balanced and normal insulin is really necessary it's a normal hormone we want it normal we don't want it too high or too low and unless you're a type 1 diabetic and have
