ID,first_three_sentences
Nrl_X5wE0uw,"I want to discuss the top mistakes that people make when they start intermittent fasting. number one: eating way too much. what you have to realize is that when you're not eating, you are eating."
vDa8341QhNw,"so I wanted to respond to an article um on how OIC in wovi could break the Health Care system. because now, if you have these weight loss drugs that are actually helping people lose weight and so now insurance companies and Medicare and now have to pay for all this medication which is very, very expensive- it's over $1,000 a month. you know, on one hand you might think, well, wow, if someone loses weight they'll have so many Less Problems healthwise, right."
Hz6EBeJP3vI,"there's even a condition called e a. that's a condition where the person is water logged okay and it's creating a lot of swelling in the brain, and that could easily come from just drinking too much water, and this often occurs when someone is exercising, and so this really pertains to athletes and people that exercise a lot, especially people that do marathons and they're drinking a lot of water. it could be quite dangerous."
RW7STOpaRvg,"you know, the other day I was shopping at the grocery store and I bought this right here: keto friendly, Duncan hindes chewy fudge brownie mix, right. is it too good to be true? the answer is yes, because when you actually read the ingredients it has a lot of great things but then it says it has modified tapioca starch."
6jSpyG0rRT0,"so I have a question for you, if you can answer this: out of all the ingredients to ultrapress Foods or junk foods, which ingredient out of all of those is the absolute worst and has the biggest negative influence over your health? go ahead and comment down below. I'm very curious what you're going to say, and then in my next video I'll tell you what I think."
QifjPgYfIiE,"takes is just a little bit of exercise to produce significant health benefits, and I'm talking about lowering your risk for certain diseases and increasing your longevity, living longer. it doesn't take much exercise, so hopefully this uh video will inspire you to start exercising, doing some type of physical activity, on a regular basis, because exercise is the most potent natural medicine for living longer and counter ing diseases, and I'm going to recommend, over time, that you um really work on establishing a fitness Reserve which correlates to a health Reserve, that extra bit of Health buffer to counter these stresses that come in on our body and affect us in a negative way."
aT0rBaHMRns,"did you realize that 71 to 83% of all the calories sold in the grocery store are what's considered ultr processed foods? so this is food that has been severely altered to the point where it doesn't actually resemble food anymore, and I'm talking about, uh, modified starches. they might take some soybean right and extract the oil with all sorts of solvents and chemicals, and then you end up with these vegetable oils."
iwsdIX0_qK4,"now you may just end up quitting sugar after watching this video. I'm just warning you don't get mad at me, I'm just the messenger. there are 703 meta analysis that make up 8600 different studies on sugar, and the conclusions are: a high amount of added sugar- okay- is significantly associated with 45 negative health effects, ranging from diabetes to asthma, depression, stroke, heart attack, gout, hyper tension, dementia, cancer and early death."
oEvhzW_lbTM,"so there was a quite large study- there was, I think, over 80,000 people involved in this study- called the nurse's health study, and they looked over four years of who gained weight and who didn't gain weight, and they looked at variables and they found an interesting uh association between drinking coffee and losing weight. they found that increasing one cup of coffee unsweetened or decaffeinated every single day resulted in a moderate reduction in weight- about .12 kg, and they also observed that those who added sugar to their coffee actually gained weight. I think it was like 09 kg."
fbIz1ozqRYQ,"[Music], [Music], [Music]. yeah, oh my. [Music]."
Y8XQNFyMe8M,"what is the number one best anti-inflammatory food in the entire world? can you take a guess? you think it's omega-3 Fetti acids, fish oils."
KD2zUbWrkAM,"all right. another Factor that's very important is the frequency of eating. okay, if you're snacking, if you're eating between meals, if you're even eating three meals a day, that can slow things down."
wi6SHudf2PY,"there's other things that cause a deficiency of biotin that you need to know. if you consume raw egg whes, because it locks up biotin. if you're on the ketogenic diet, your demand for biotin goes up because of how much fat that you're consuming and how much more of an increased demand biotin is going to be needed to deal with the fat."
32K_bo7E66M,"foods that create the most inflammation would be related to something like gluten, which actually is in grains. most of the grains create inflammation in your gut. most people with arthritis don't know it, but their grains that they're eating are creating a lot of inflammation."
Kfn7YpAlmPs,"now I hate to break this to you, but that mother and the oppsite of vinegar and the bottom of the bottle is not what you think, what you've been told. it's a special mixture of friendly bacteria and maybe certain enzymes that are going to help you. well, what they didn't tell you is this: you can't see friendly bacteria."
Ba6QLhycpy8,"[Music], [Music], [Music]. yeah, oh my. [Music]."
_achdhdxIH0,"developing more Fitness also improves your insulin sensitivity. so if you had insulin resistance at one time, developing more of a fitness Reserve can greatly help your blood sugars and allow you to get to a place where your insulin now finally works. if you're struggling with, like the dawn phenomena where you wake up with your blood sugars higher, well, one way to cter that is just to build up your Fitness Reserve."
gO0mUN3MAoM,"if you wanted an amazing drink to drop inflammation in your body, especially inflammation in your gut, here's the best drink, and this is based on a YouTube video that I did recently. but I will say you need a juicer for this. but you're going to juice cabbage?"
3BbcD0fjfno,"so I'm really excited to speak at the upcoming Health hacking event forly called ketocon, and so the topic of my uh presentation is going to relate to the ketogenic diet and how to implement uh- prolong fasting with the ketogenic diet- in a very unique way, and I'm also going to be sharing with you the real, deeper reason why keto and low carb is being censored, so you don't want to miss this. I can't wait to meet you in person. I will see you at the end, end of May."
9vBO3ejBoMA,my fair share of bumpy roads and heavy winds. that's what made me what I am today. now I stand here before you.
Ika6xrj1L40,"really got to be careful of these grains, uh, and consume only grains- if you're going to do grains at all, that have no gluten, and that would be oat, quinoa, Millet, TEF, buckwheat- and then, just like a nut flour, you can use almond flour, and anytime you are consuming grains, nuts, legumes, things like that, you want to germinate those because you want to get rid of certain antinutrients, and one being this phytic acid. so what you could do is you simply soak these things in water with 1 tblspoon apple cider vinegar and then let that sit for about 7 to 12 hours, okay, and then you rinse it out and then you can actually bake with it or cook with it, whatever, and that way you'll get rid of a lot of the antinutrients, because this fyc acid will really block the zinc, selenium, iron, calcium, things like that."
8JySMhsH72M,does drinking water actually hydrate you? the answer is it depends. it depends on what's going on with sodium.
xsvsonsP3BU,"ketogenic diet can absolutely kill you. this is Steven L lifestyle medicine cardiologist, and in this video, I'm going to tell you that the ketogenic diet can absolutely kill you. we're going to go through what the ketogenic diet is, the science behind the risks that the ketogenic diet has, and then what you should be doing really to get yourself healthy, lose weight and live a long, healthy life."
EmGwQA2C1UM,"one of the most important nutrients for your hair is a simple amino acid called Lucine. without Lucine, you can very easily develop alopecia, thinning of the hair and actually hair loss itself. Lucine stimulates collagen, especially in your hair, making sure your hair is strong and elastic."
JeaF9HtuVxA,"now, the second point about probotics is we have to talk about the opposite of a prootic, which is an antibiotic. um, there are things out there that mimic antibiotics as well, like glyphosate, which is an herbicide in all the GMO foods that you are exposed to, and also certain artificial sweeteners can act as an antibiotic as well. also, antibiotics are grossly overused, like, for example: most respiratory infections are usually viral, not bacterial, but over 75% of the time, doctors prescribe antibiotics for upper respiratory infections."
QEzFBI-Z7qY,"so there's a certain amount of sugar that you have to put in certain foods to optimize this Bliss moment, this point of like: wow, this is just delicious. and what happens in the brain is you get this spike in endorphins. endorphins give you the sensation of pain relief, of stress relief, of wellbeing, of Happiness, pleasure."
z-atfvHSsqk,"there are many uh, non-pathological reasons why you might have high blood glucose that don't indicate that you really have diabetes or a problem. for example, if you test your blood sugars after you just worked out especially high intensity, your blood sugars will be higher. that's normal."
g3zWxCcBeOY,"if you want to know the most poisonous foods on the planet- and I'm not going into sugar, refined carbs and Seed oils, which we know create more problems than any other food. now, mushrooms are very, very delicious. I love them, but you have to be careful because there's some poisonous mushrooms out there that could actually kill you."
2PaIdKUPDkI,"hey, just want to let you know that I'm going to be speaking at the keto Summit in Florida coming up in January. it's called Symposium for metabolic Health. it's in boa Raton, Florida, January 12th through the 14th and I haven't done one of these events in a very long time."
Qk_bJoj8f-E,really interesting thing about a diabetic- on a good portion of their high blood sugar. it may not be 100% from the diet. in fact it's not.
rs6Ztq7YrpE,"now, if you want to get more energy, you want to focus in on this amazing cell in your body called the mitochondria. the mocher is a pre- battery machine. it actually makes a lot of batteries, and that battery is ATP."
B1D7bjFMPC4,"people that have a slow metabolism actually have a very efficient metabolism, probably from dieting in the past. you go on some diet and then your body adapts and compensates, especially if you go on a lower calorie diet and then becomes more efficient, so now it can run on a smaller amount of fuel. it doesn't want to waste this energy, so it's very conservative."
1RRwbp9YMLA,"did you realize that the average person in the US consumes like 60% of their calories from Ultra processed foods, where they strip the nutrients out? I mean, let's just take Doritos, for example. I used to love Doritos."
5EnsvmwexjY,"now. vitamin A is very, very important in your eyes, for your immune system and for your skin, not just external, but internal skin too, the skin that aligns the inside of your sinuses, your throat, your lungs, as well as your digestive system. and the best source of true vitamin A- and I'm talking about the active form called retinol- is not from consuming a lot of kale, spinach or carrots or squash."
cydV-nZEyk4,"I'd like to talk about the amazing benefits of magnesium. so magnesium actually helps you lower cortisol. so it helps you sleep, especially getting to sleep as well as staying asleep."
Bz3DLaEF-ec,"so I started looking at Copper in relationship to the satic nerve and I found some fascinating information. number one: there's all sorts of different types of therapy that use copper for inflammation and pain, like copper bracelets, copper patches, copper cream and even a a brace that you could wrap around your upper hip area that can cover the satic nerve, or at least the origin of the satic nerve, and it's Lac with copper, and a lot of people are reporting amazing results with that, and we don't really know exactly why copper can help pain and inflammation, and I'm talking about just topically putting it on the body. I mean something could be actually potentially kind of being absorbed, maybe, but maybe not."
xyNjoCrJW54,"the pH in your stomach should be between one and three, very, very acidic, and the purpose of that acidity is to help you break down protein, is to help you absorb minerals also, uh, absorb B12, as well as to kill off pathogens. right, I'm talking about bacteria, fungus, parasites that could be in your food. okay, it's kind of a natural barrier, your immune barrier, and so as we age, we lose this stomach acid."
lbdYjujrBTA,"to remove fat from your liver. just drink this one cup every single day. now I know you're saying no freaking way, is this going to work?"
nTXr3WH033Y,"next topic is about carbohydrates. if you do a workout and you do a little snack before, during or after the workout, like a lot of people do, they want to get those carbs in there. maybe they do a protein bar with sugar or they might do an energy drink Gatorade with sugar- you're shutting down the benefits of, you know, ketosis, fat burning, as well as autophagy, which is the recycling of old, damaged proteins in your body, the kind of the anti-aging effect."
vH0rhTPEShI,"sometimes people, when they get on the ketogenic diet, they feel that the muscles are just flat, they kind of lost their size, they look dehydrated because, um, when you do keto, at least initially, you lose your glycogen stores. glycogen is basically the storage of glucose, a lot of water and potassium. and when you initially cut down your carbs, okay, you're going to also use up some of your glycogen reserve and you're going to lose water, water weight, okay, and uh, then your body's going to burn more fat, you're going to get leaner."
tbAmKJecACA,"you know, slightly older people that were born in the 50s and the 60s, like myself, notied that there just wasn't as many overweight people back then. why is that? was it because we ate less saturated fats?"
PF1siw7tXeY,"so these microbes from kefir actually go into the body and they inoculate or seed your microbes to help you grow more microbes. and actually the right balance. and the microb from kefir actually can survive the stomach acid, whereas yogurt it doesn't survive."
HR2ogA32znQ,"now, as you see, when you buy biotin supplements or you see them in certain shampoos, you'll see very high amounts of biotin. now, is that a problem? uh, not necessarily, because biotin is water salable."
4UFJDlYNraw,"insulin is really necessary. it's a normal hormone. we want it normal, we don't want it too high or too low."
R34IcLIgaaA,"now I've been experimenting with this and I found that I'm getting a lot of recovery after I do uh, this cold water immersion. I have this unit that I jump into. I use this after the workout."
qhv0_0n6zHw,"so you probably heard of this Mediterranean diet being a healthy diet, right? um, yes, it might be true, but what is not true about it? it's not a plantbased diet like they say it is."
qqIAnbIL2J4,"the beneficial bacteria and yeast in kefir can help break down the protein in milk, like casine and other proteins, into a digestible protein. so even though a person has an allergy to milk, um, it's much less with kefir because of this microbial uh decomposition of the protein. also, kefer tends to eat up a good portion of the lactose, the milk sugar, which many people have a problem with."
hKXNgZe6AHY,"to help you lower your blood pressure. I recommend drinking one cup of this every single day. now, before I tell you what this is, I highly recommend you also get on the ketogenic diet."
iD4MYygfrvE,"what OIC does to the body is it increases a certain receptor called glp1, which helps slow down digestion, thereby decreasing your appetite Cravings, so you're no longer hungry and you can eat less and lose more weight. it even improves the beta cells of the pancreas to help restore insulin levels. in fact, it's been known to improve insulin resistance, and anything that improves insulin resistance will help you lose weight."
FK6etkdOgm8,"so these people that are cutting out red meat, they maybe doing chicken breast, which has way too many uh omega-6 fatty acids and it's definitely of lesser quality, and so is like plant-based protein that's like really low on the list, whereas sometimes people think those are clean proteins. to help you, they're not. there's other things you can do too."
LNguvTPcPMs,"when you're in a room when the windows are not open and you're not getting enough oxygen- because maybe you don't also have enough plants in your room which give you oxygen- you may have a tendency to have more CO2 in that room, and just that alone can affect your sleep in a negative way. and this is why when you open the window, if you can, or you get a plant next to where you're sleeping, you can definitely sleep better, just for the fact that you're increasing the oxygen and you're lowering the co 2. so many people are spending all day in a room with a higher level of CO2 and not enough oxygen."
YNVUc65A1sQ,"you know there's some interesting root causes of sleep problems that you may have never considered before. one is something related to sleep apnea, but it's not really sleep apnea. it's a situation where you just don't have enough oxygen going into your lungs because your pH of your blood is slightly to alkaline."
b-0oVmjfiEU,"there are several very important mistakes that people make when they do intermittent fasting. the first one is not doing the ketogenic diet with intermittent fasting, and so it's going to be really hard to get into keto because your carbs are just a little too high. the next mistake a lot of people make is eating too much in their eating window."
jt1oERGNgzU,"there's a condition called air hunger- okay, or another word for it would be dpia- which is a situation where you just don't get enough oxygen. that can create anxiety, and typically people know that it comes from asthma or some like pneumonia or a lung infection or maybe COPD. but there's another cause for it that you need to be aware of, and it's called silent reflux, where there's some acid that's regurgitating into your esophagus, creating damage to the nerves, signaling your brain stem to gasp air."
TeEO1ng3iuA,"so realize when you eat sugar, you're kind of paralyzing your immune system and also, when you eat sugar, if you're female, you're increasing your androgens, okay, that's. there's a condition called PCOS- polycystic ovarian syndrome- that comes from too much Androgen, but that's really coming from too much insulin, because their diet is too high in carbs and too much Androgen increases something called sebum, which is the oil in the sebaceous gland or the oil gland, which is the exact thing we're trying to regulate and improve. and so the big takeaway is that too much sugar kind of paralyzes the uh immune system and allows these pathogenic bacteria to grow all over the place."
0rNBpyk_qmw,"now if you're not consuming apple cider vinegar, you might want to start. let me tell you some of the benefits. number one: it helps insulin become more sensitive."
m-lAMiyRr9w,"now listen, when you're trying to lose weight, many times people have this idea: I'm not exercising enough, maybe I'm eating too much, or maybe I'm just getting older, or it's genetics. those are really not the big reason. there's something else, that's a much bigger reason why people just can't lose weight, and it's really two things."
W04hrjwuz_U,"trying to figure out how to State this. um, there's one thing that we know for sure about dopamine: no one really understands the complexity of dopamine. if you do a deep dive on dopamine, your head is going to literally spin because there are so many theories."
GsGEckgi0S0,"now, there are several ways to get probotics without taking a probiotic supplement. so, number one: you want to consume fermented vegetables, as in pickles, sauerkraut or kimchi. number two: consume fermented dairy products."
M73Bm3tBteU,is this true or false? one out of seven teens has either high blood pressure or elevated blood pressure. what do you think?
-L1FScy3Jtg,"now, sulforaphane is a very powerful phytonutrient that can help in cancer anti-aging. it's a very powerful anti-inflammatory. but the question is: what has more- broccoli or broccoli sprouts?"
Deihn1FxlAk,"did you realize that soda can actually melt your bones? i recently did a video on this, and there are three things in soda that you need to be aware of. number one: phosphoric acid, which is an acid that can dissolve bone."
_hTrFvFCnrg,"did you realize that virtually all the cellular estrogen- and men and women- come from testosterone, and so there's a certain enzyme called aromatase that converts testosterone to estrogen, and if this enzyme is triggered too much, you can actually end up estrogen dominant. so if you're a woman, you could be at risk for breast cancer, but if you're a man, you can start developing breast tissue. so one of the biggest things that increases this enzyme plastics."
Cc7xoNMaE4E,"i want to just talk about hpv- human papilloma virus- which happens to be very, very common: 80 of sexually active adults have this virus and it's linked to cancer. one of the best remedies is dim, which is a concentrated cruciferous. so if you are having problems with hpv, definitely check out dim and the effects that it can create."
7RpuR_GBn-g,"i had a question recently from someone that wanted to know: is it okay to do keto and intermittent fasting if someone's pregnant or lactating? and the answer is yes, it's okay to do keto- the healthy version of keto- but i wouldn't recommend doing intermittent fasting or fasting if you are pregnant or lactating."
9H8RY8umqnI,"now take a while to guess what part of the world is mostly deficient in vitamin d. if you guess the middle east, you are correct, and it just so happens if the middle east consumes the most sugar of any part of the world."
hTUDMmCEYnU,"so i have a question: why do you think consuming high amounts of carbohydrates make you sleepy? well, if you answered high levels of insulin, you are correct. insulin high levels block brain chemicals that make you want to go to sleep."
Ldy8Z93qp7s,"i did a video on this amazing exercise for shoulder pain. the best exercise for shoulder pain is simple stretching on a pull-up bar. okay, with your hands going forward."
rTyyc1oh1uc,"all right. so here's a question someone want to know: can a chili pepper, because it's so hot, put me in thermogenesis and actually help me burn fat? well, yes or no, it really depends on if the person's on the ketogenic plan, but it's not the heat that's melting the fat off."
LoFYyyFut74,"you know, i had a question from someone relating to that white ring around the eye. they were a bit older and they wanted to know what the heck was going on with that and the answer is this: it's very normal to have that white ring around the iris, especially if you're getting older. in fact, 70 of people over the age of 80 have this white ring and it's coming from cholesterol."
IkzEtWNfOiQ,"i want to tell you why europeans have less bloating when they consume wheat products than people in the us, and it has to do with three things. one, in europe they use white wheat. in america they use red wheat, and white wheat has more protein and less gluten."
CXFKvgJI0PI,"[Music]. come on, we're all gonna die of something that's gonna interfere with your fat burning for the next 72 hours. do it."
aWvqtgi65q0,"can you guess what the biggest deficiency is in inflammatory bowel disease? now, if you said iron, you are correct. then vitamin d, then zinc."
LgpAB9SCGjA,"i have a question: out of all the foods out there, what has the highest amount of phytic acid? now, phytic acid is that compound in food that blocks minerals like zinc, iron, calcium. a lot of people think it's grains."
Fv4yH_Z4VbU,"the most common reason for pain or tightness in the right side of your neck and shoulder is a gallbladder problem, and so usually the person is not on keto. they're eating a lot of the wrong things at the wrong time and frequent foods and they're creating a lot of bloating and it's going to put pressure in the gallbladder, which is going to put pressure on a nerve called the phrenic nerve. that happens to go from this point all the way up to the right side of the neck."
LZ-WdsRDdAc,i have a quiz for you. what has more sodium? the dead sea salt or sea salt?
2R4Ua1iMudk,"milk thistle extremely powerful in protecting the liver against poison, like mushroom poisoning, alcohol poisoning, tylenol poisoning, even snake bites. so when you think of milk thistle, think of everything to do with protecting the liver cells against poisons."
0PINKb0MyAU,"so here's a quiz question for today: what is the benefit of chromium? what does chromium do in your body? if you said anything connected with improving your blood sugars, you are correct."
t_F7L81aoBw,"all right, i have another quiz for you. what nutrient deficiency causes nauseousness when you're pregnant? if you guessed b6, you are correct."
vrx6Khc8x4M,"all right, here's another quiz for you. what nutrient deficiency is most commonly found with IBD- irritable bowel disease? if you guessed iron, you are correct."
DY9v2WhzIKU,all right. what's the best exercise to increase your telomeres? now?
amLI98Dv5V4,"now, if fructose is so low- on the glycemic index it's like 19, okay- and glucose is so high- it's a hundred- then why is fructose so bad? i mean, it's from fruit, right. well, the answer is this: fructose is a very, very different sugar."
nWzU4Kp1DWE,"okay. so you have two major types of arthritis. you have rheumatoid arthritis, which is an autoimmune disease, and you have osteoarthritis, which is usually not considered an autoimmune disease, but it has components of an autoimmune disease, like in your fingers, because your fingers aren't weight bearing."
6FK-k05NSrA,"all right, this is kind of a disgusting topic, but let's talk about it anyway. what is the significance of green phlegm- as in mucus- versus yellow phlegm? well, it has to do with the severity of the infection."
VmAy2MWx2GA,"I want to mention how to get rid of knee pain, especially if it's in the front part of your knee. it's called anterior knee pain and the best remedy is to stretch the opposite side. stretch your calf muscle and your hamstring, and your knee pain will go away."
MhKiKALF32k,"all right, this is an easy quiz question. go ahead and type down what hormone determines what type of calories you will burn. if the answer was insulin, you are correct."
oMmoRCQP7kI,all right. so i want to answer the question: what is the best cheese you could eat now? this is a cheese right here from switzerland.
10px_5GVJ_U,should i eat before bed? eating before bed can nullify growth hormone. now think about it.
BJFqw7OR3Xw,"now, if you have pain on the front part of your knee or if you've been diagnosed with something called patellar tendonitis, the absolute best stretch for that condition is to stretch your calf muscles, and you can do that by going to your stairs at home, either going downstairs or upstairs- and just put the front part of your feet on a step and then allow your calves to be stretched. and what's going to happen? you're going to stretch the opposite side."
Ays2lOShuPA,"so why is it that some people get herpes simplex one when they go out in the sun? now, you may have been taught that the sun gives you vitamin d and vitamin d is really good for viruses, right? so why would the sun activate certain viruses out of remission versus sometimes putting them into remission?"
uOF9ZJ-wG24,"i want to talk a little bit about dhea. when would you take dhea as a supplement? well, your body makes it and it's used as a precursor to make estrogen, progesterone, testosterone and even cortisol, and so a good time to take this would be post-menopausal, when you're running out of hormones and you're not producing enough hormones, and this goes for men and women."
Cp87NtH2av0,"all right. so i have a quiz question: what is behind a slow metabolism, both in men and in women, a situation in which you hit a certain weight and you can't seem to get below it, no matter what? well, if your answer is insulin resistance, you are correct, and please comment down below and tell me if you got this correct."
2KijtQnDZBk,"one of the biggest concerns people have on the ketogenic diet is this: fat. you know 75 of all your calories should be fat. now, the reason why you shouldn't be concerned about that is because your carbs are low, and when your carbs are low, your body can finally burn the dietary fat as well as your own stored fat."
L0YMGcoXAKA,"most people have this idea that the best thing to do for rehabbing a dysfunctional joint or an old injury would be stretching, heat, ice rest. but that is not the best rehab. the best rehab you can do is through doing resistance training."
ehzVVUNPKH8,"did you know what the number one cause of liver transplant is in the united states? it's actually taking tylenol, and the problem with the drug and tylenol is that it's in a lot of other medications as well. so if a person is taking things like a nyquil, for example, they're getting the drug from tylenol, and it's actually quite easy to create a toxic effect."
vjfVHloosgU,"you know, there's a really interesting study that i saw recently on salt. it's actually a low salt diet that increases your risk for a heart attack. so if you're consuming less than just one teaspoon a day, your risk for heart attack goes up."
DCVx5GQb4gE,"so ultra processed foods are not really foods. they're highly refined flour products, they're very high in carbohydrate, very high on the glycemic index and they're very, very deadly in the causation of diabetes, heart disease. and i'm not sure you knew this, but children on average in america consume 67 of their calories as ultra processed, so-called foods."
cHqWvJmRzI8,"now, as you know, when you buy extra virgin olive oil, a lot of it's fake- like 80 of it is totally fake. and there's a really good way to determine if it's the real extra virgin olive oil versus some fake version, and that is this: do you get this little tickle in the back of your throat? if you do, chances are it's the real extra virgin olive oil."
Wrv6erc3D7s,"selenium very, very important in your thyroid converting t4 to t3. but selenium is one of the most powerful antioxidants. so take a while to guess what nut has the most selenium."
CghlQS3lQNw,"so the question is: what's easier to digest- mct oil or coconut oil? what do you think? well, mct oil is a hundred percent medium chain triglycerides, whereas coconut oil is only 15 percent medium chain triglycerides."
qB5lj50JdqM,"you know, it takes about 20 minutes to consume two cheeseburgers, medium coke and a medium fries, which basically is over a thousand calories, but it's going to take three hours of intense exercise to burn off those thousand calories. however, if those thousand calories do not involve carbohydrates, then the rules change because even if you don't exercise, those calories are not going to be turned into fat and with being in a low carb diet, your body can actually use those calories as energy. but with a high carb diet, you're not going to be able to use those fat calories as energy."
KBYWmjWWvUk,"now, when we're talking about insulin, we're talking about your ability to lose weight, because if the insulin is too high, you're not losing any weight. so the goal is to keep your insulin at the lowest level possible. so most people know that sugars and carbs and excessive protein can increase insulin, but they may not know."
