Video ID,Transcript
fSf2ZEVS2wk,I went to college more than 5 000 miles 
rcOw_moqt2c,it's time to meal prep my mason jar 
uQpqwR5H9hY,i'm not usually a mushroom girl but i am 
vWSsO_88BVc,let's meal prep my mason jar noodles 
-jiJ8IzO17U,i'm a dietitian and i used to absolutely 
L9Ydf8ZNfDE,so I got a box today and I'm pretty sure 
pbXxMRAQvms,I'm a dietitian and this is day two of 
WHtf5FhFfAY,i'm a dietician and this is what i eat 
UlVKpXOLtxg,i'm a dietician and this is day one of 
awDtGXJsOUI,this is part five to five things i would 
ToUeoX5CPsc,make an easy dinner with me as i tell 
TKxAHxy1o7g,tell me what you like about them 
8ygg9jrtVpg,i'm a dietician and this is one of my 
JeU4M9Phzrs,five things I'll never do after working 
Sog9EN6e2Rk,this is part three of five things I 
JcPB-Dp6erw,this is part two to five things i would 
wYi6NqCUUEk,these are five things i personally never 
oXc7BMF9IoM,foreign 
k3WztZdGB5I,the most delicious high protein dip and 
PGVkXNhXPME,[Music] 
dWyy0Ja8t44,boy well tell me what you like about him 
zXfKuvuRRu8,today i'm going to share with you what i 
T-GfxayE67U,as you all know i'm a dietician and 
qxqegEG73Po,[Music] to pump me up feeling fussy walking in 
NPzcK-nbVkQ,my name is kendall 
sXCadXZX8mk,if you're new here i'm a dietician and 
9H4GWbpLng0,let's make an easy dinner while i'm home 
KfO5abKC55U,as we all know already i'm a lazy 
VNd4Bx2MWK4,if you have a perfectly normal poop 
jfYbXMq93n0,[Applause] 
A2LLKqX8Phg,i'm a dietitian and today we're going to 
O8YAE94zlws,today i will be worsting my ibs to show 
f_zfbwg-w7E,[Applause] 
l1ZThDZrofw,i'm a dietician and let's review what 
fziHHReY4jM,i'm elisa dietician and this is what i 
RTmKGoOaiUo,dietetics and becoming a dietitian was 
czEr4PiXAvA,so i saw the viral trend of people 
Sk4_KMnL6bQ,[Applause] 
9kyeawQti6M,me making myself soup every day after 
NysjTea3V9A,shhh 
XhxuutNo2Xw,i'm a dietician and let's review what 
a4o4XGOSGcI,how do i eat healthy and lose weight 
8WREPQNfyq0,if i told you you can eat this and still 
X7RWQeHHc6A,i'm a lazy dietitian and this is what i 
-dr381d2vMk,yeah it's time to organize my fridge 
nd8tZuJKDa4,hot cake but raw tofu is delicious and 
lKk_gQ9wxRo,hope that you choke on a piece of 
jjL9LDBiock,dietitian and these are things that i 
2-hhCcuznc8,the best snack 
lXYzt1q3hFs,these are the best and worst asian 
2M1Rzp2sR48,this is what a lazy dietitian eats for 
lyQ__en_zoM,these are the best and worst asian 
wCuI5OrjhGI,welcome to another realistic non-diet 
e-xHZopzuUk,things people have yelled at me for on 
LFrT3oEW02w,apparently this one original Crispy 
FaGnvfxTPPA,this is the most important piece of 
an8UREDhAFA,okay so I just bought a brand new ninja 
2y8ZmEMOhVg,love me a wedding a day that doesn't 
85PSwShkqiE,so the first thing that we're going to 
Dbr1o0Wo3rE,I love when you insert yourself into 
egjMGkzTLf8,[Music] I'm sorry what did I just watch who 
eZWzSz2okXc,I love omad and I don't no but I'm glad 
9ZU8GgDRQpA,this is wild Kelly rea's trainer just 
EbH6w94J_ZE,If This Were my family and I was 
nm6HKabxdBw,[Music] all the millennial women who have been 
x3-jCOGtEVU,get love this breakfast carbs and 
IJq8W4ixR3Q,welcome to a body shot free day of 
CKsWRpCAci4,my 17-year-old daughter thinks I'm an 
z1WYXX5bo_g,the supplement world is a broken 
Jd3Z9F1sqjo,as a dietician I never drink or eat 
YoinrR3DsUM,every morning my mom drinks this 900 
fOn9OPilmRU,since when are rice cakes healthier than 
XGxm0Kp0PjM,if you're trying to lose weight this is 
FxqlFmnKvWE,does chewing gum release the same 
dZDWrgb49sw,more unpopular nutrition truths that 
pSycJYn4FBY,hi I'm Abby sharp and this is what a 
lUWpj0HDx50,Chinese celebrities eat to lose weight 
3Mku_mAllBY,more unpopular nutrition truths that 
tzGx_kBDQBQ,welcome to the 50 brain cell challenge 
FAghltceI5E,Abby everyone always says bagels are 
yMMUN-Zeje0,restrictive nearest resolutions are 
tCdsALK145E,welcome to another realistic non-diet 
IUheeo8b9YI,here's how you can turn ground beef into 
J3n9_wTuVyg,if you're trying to lose weight is 
5ndgoQcoKgo,if you're still eating your cereal with 
jhzOLM0tCJk,soup season meat Stove Top Stuffing 
escSv2YvhH4,unpopular opinion chocolate orange is 
UoBEaPwyuak,I'm a dietician and this is what I eat 
HY53u26KsaI,Taylor Swift is a mastermind not only in 
m1FpVBVwzl8,Chinese celebrities eat to lose weight 
TMXQWKd9K4Y,canned cranberry sauce slaps it's Tangy 
CKKSxdfH53I,is Nutella a huge fear food for you I 
4w3DM2sh6Uc,okay I don't have butter I only have 
AQOHyB-cyro,Stove Top Stuffing slap why do we only 
1lOpWKa_p_U,seriously Tik Tok Tik Tok took down my 
f7zajNxkM9g,[Music] yeah I said what I said thanks to 
jc2y577esgY,lemon water is a SLE I love lemon water 
G7_RSZVg_So,this is what I'm eating on my bulking 
5q_vSAOSgqA,I was betrayed by my own blood recently 
7H9VzqkG45A,I'm doing a juice cleanse today I like 
TKc0upYf7xs,people who eat hard-boiled eggs for 
WL_Eqz7kRio,healthy lunch I could eat every day 
bO_GGZZW28k,you've heard about boy math you've heard 
CW8MTXpc1B4,things people have yelled at me for on 
gXalroA-J3U,more nutrition truths that Wellness 
D8ZyNJiemzI,how to manage your Halloween candy from 
uEEFV7SkQYw,is what I've been doing to no longer 
hwEBi4flTRU,[Music] 
IwNnaOo3qTc,attempting a 72-hour fast 14 hours in 
ivVCU71OaFk,more nutrition truths that Wellness 
JrsHURW750M,if you're still making your chicken 
DvbdySvl538,you should listen to your own excuses to 
m86xW7x7H5c,we're going on a ship fun oh I forgot to 
YoSj-2Tw_fw,[Music] 
rNv9jmy6Afw,made with real fruit or vegetables this 
JnxxrQ181MI,help her by asking the social media 
iDE1auEOkUg,and this is not good for vulnerable 
FCDVp5JLHBg,I've stayed silent on Eugenia Cooney for 
W_XBX73Kw64,you're stupid if you're fat oh boy one 
i2UzzokPnRA,guys have trigger warnings gone like way 
xJwGZSWpIoo,today I'm going to show you how to make 
NqZFBh0iZpM,let's talk the shocking truth about 
uMCJvDcfK4I,remember the custard toast trend of 
K7D_IEukjBA,dessert that's 10 calories it's perfect 
b9sdpAklps0,more unpopular nutrition truths that 
y4gswC_VXsI,more nutrition truths that Wellness 
aWyld5UmkJQ,carnivores cinnamon rolls do exist 
B_aD8BDP4rg,I've been doing this job for over a 
4oRlYlYE_RQ,oh Vanessa Bell your first year 
oW9_-17S9sQ,this is the summer of Barbie and cottage 
B6boW883-EY,it happened I was influenced I got the 
zbgCC9wNDVo,did 95 of diets actually fail so this 
fGRCd44yESU,let's play more nutrition truths that 
tDESIn2FGUQ,more unpopular nutrition truth that 
3rY6OtpuQks,Abby aren't Bagels equivalent to like 
BUDHN3ttMkc,when I eat a really big snack that's 
wOQJI7ZIwo8,you've maybe seen the skinny girl shot 
kmb__-QcRl8,when it's in trouble for saying this but 
InpjEPKZGlA,[Music] cancer sticks you know every single hot 
wPA1IJ3i4kM,people are calling it Nature's ozempic 
XwqE_tT1FKI,a lot of people ask me what I look for 
AQsTHlXVHBQ,we're back with more unpopular nutrition 
MeIsxC0NGxk,do you want an honest yet unpopular 
iB-QUPtK7sY,more on popular nutrition truths that 
HJjJKjqrpoY,correct order is vegetables first 
k8lCwnoloGA,ah Jenny look at you 
0cgR3s-NVCM,I don't know who needs to hear this but 
ZbMle67hV_4,I want to show you a little intuitive 
nPb7ngQ8cug,here are five hidden signs that your 
sDO3OvRE6bA,[Music] you didn't even make me 
ozy9LaeG-s8,are you single alone and in need of 
2Y5fQvLbCH8,Abby everyone loved your apple pie bites 
YEeruPtnqTo,Abby I feel like every healthy cookie 
ge2sGhuYHPA,we all remember eating Mr Noodles pretty 
qxVos1yQPiY,ready for some lunch is that really what 
_4GMFrrjxA8,happy I've got some graham crackers What 
i4cXk0xznV4,Abby what's important to a dietitian 
S6rENBTpnys,Abby can you make this can of tuna a 
ESzxDSPGJs8,as a dietitian these are the foods I 
C-CUhjgtDWo,if Selena Gomez had an erwan smoothie 
nZuV0SB59Kg,Abby everyone always says bagels are 
3GAl8b8rzoY,oh thank you dear is the pizza paleo 
FvmmqhOr8wI,I'm a dietitian and I'm going to show 
tbyTUGWO81g,if I get one hamburger with lettuce 
WNMTo1H26nE,I'm a dietitian so I obviously love 
tmfAstTVvQo,I'm a dietitian and I'm going to show 
_Q6WwiSE6-M,I don't really even like cheesecake that 
vEqLlDf2pCo,good morning good morning you are 
LD7q2ThJp-E,I'm a dietitian and I'm going to show 
najnSnGSqhs,I'm a dietitian and I'm going to show 
fCF4bnkzru4,hi there could I please have a nine 
Zd7VJuME71A,I have a kids chicken tender meal with 
ax5YELyHuJw,I did not think Gwyneth could get any 
jgnw8J4uxo0,please tell me the last time that 
z7NyvZW84QE,Canadians have Tim Hortons Americans 
MwVlUCtrkzA,on the road and I need some lunch let me 
Ti1CCmFMDnQ,I don't know who needs to hear this but 
9KnRNKEUM-Y,could I have the egg white veggie 
jTD-Rh53Kv0,the price of groceries is through the 
YmgnrmmErAM,there's no information anywhere about 
eJQXR9a2K7o,meal prep with me while we unpack some 
t-B5BvPyIPI,as a dietitian this is the one superfood 
sVz5t3xWjuQ,if you're only using balsamic vinegar on 
h9FMGlhgQnk,as a dietitian these are the three 
23xICsLrU9w,as a dietitian I never buy these anymore 
3MMv0dEIhrI,Abby what's your favorite way to eat 
X1ziSsW1Daw,Abby I think we need to talk what's up 
qTjr4RQ38hI,I'm a dietitian and I'm going to show 
oSIoOVUmDRo,obvious there a way to make potatoes 
kroxjlRxb3g,Abby what is a dietitian order at a 
erpp6W3zRbs,this is the biggest mistake I see people 
XwevCUqFEc4,I'm a dietitian and I'm going to show 
91nVdH0GvQE,Abby as a dietitian what would you say 
6fouHb4lTyQ,yes can I have uh three chicken tenders 
q-1_pebYteQ,gluten-free foods have definitely earned 
tesrkPFq3jA,what's a dietitian Sushi order I Love 
_O_lN1XbLco,I'm a dietitian and I will never cook 
fmmw8C7cBeA,um hi there can I have three soft 
_dbSLjhvfSk,I'm a dietitian and I'm going to show 
rluZlPqC01A,if you're feeling under the weather stop 
HLydfF7scLI,hey everyone I'm Abby sharp this is 
-FudbmuY214,are you single alone and in need of 
VkC8H320Rw4,Santa has had a hard ass year or so I've 
0eU1ZgwH7tw,Abby you know I'm not a baker but what's 
dZm9ZatZOjs,ready for some lunch 
UHgWK0WgJQw,Brody do you remember this deep and 
ceqgqICdH6I,lettuce is getting pricey no matter 
AtDsakgTkHc,we all remember eating Mr Noodles pretty 
0d_Ql6lUXaE,I have nothing against Frozen 
Sm9_1Ecy29c,want to know what a dietitian looks for 
LOErXO3eVWo,Jenny you know you can't eat that it's 
C2CRDKIMBFk,this is the one thing I never put in my 
ObpUlHau-TY,[Music] living lovely 
tAUGo2_HmmM,Brody are you team jelly or whole Berry 
NOoRKkgQ7pU,happy what holiday pie does a dietitian 
YzubzqCPkYU,Abby was a dietitian eat during the day 
sgmvjiZdcOA,have you I always find that I need to 
HTG-MaSUaX0,here are three things a dietitian won't 
I2mjvj0HPJg,everyone on a dietitian or is that 
X02nvpL9gpM,Bella Hadid just posted the most insane 
0NskB9pdPcE,so as a dietitian how do you like to 
FL_PA8RXlWA,cause you're just a man 
0SIJlwPjLMk,welcome to Wendy's hi 
fIYwl6TGo6Q,my PMS slash birthday Edition but I mean 
XeUwaDUx6-0,yes can I have a grande soy milk latte 
wc8PmDdKGPk,what are you doing I'm deconstructing my 
uRGvL7HczNY,make sure everyone sees the 
C-pdpyF3lrw,hey everyone i'm abby sharp i'm a 
veh98fUAzdU,this is gonna be a hot take and i know 
WNHTQnrcG5c,i'm a dietitian and this is what i eat 
Gd5nnK_2geE,I am so glad I'm done dieting and can 
9OJdx53KlF4,the kitchen is officially closed anyone 
Fuz3gq27phk,snack time samies have you tried this 
GcyujZasFpI,she calls it Berry cheesecake fluff okay 
QJ7MIUsLLZo,Where's your green juice and are those 
IJhzy0qK0WA,I wish I wasn't so restrictive and can 
gDwH1qIwL2g,okay Burger tacos are the best 
YZsW4c-TNy4,I have got to lose some weight why do 
AhDJLXo0eXU,Sarah stopped dieting and she lost 
dJqq6offTQk,we're gonna talk about weit what am I 
GCo-QvL99Z0,copycat zesty lime MC wraps Mickey D 
cwfwwiOxBiA,I hate my body maybe I'll try those Slim 
kNCUbzIKcRQ,I would gain like 10 lb from eating a 
vGGJggHyh5A,protein bars that actually taste good 
GkaPIM_p790,I cannot believe you actually made these 
uTbUYacD2yE,this is cookie dough and this is cottage 
h8Q196jdezI,check it out I made my own high protein 
91uqJJEDx7A,happy Easter sweetie now instead of 
5oMfXenFHDg,breakfast time huh wait are those 
N2WohPhz_n4,Pizza soup that you got to make ASAP a 
ZX6gNSODQ9U,I'm a registered dietician and I'm going 
_A2gn6CLqBI,had a bad day you taking one down you 
UtuT9HbJgCQ,lunchtime same here I'm starving what 
EPsKHtIQ3aU,how to evaluate a protein bar the source 
lSV9GOUpo9A,happy cat shamrock shake set Mickey de 
yFmibiRf8ZQ,[Music] 
v3NG4MiaEkQ,I'm not even hungry but I just want to 
FotAC3HpXwE,um those are not muffins those are cakes 
eSqSsbqF8KI,you could eat all of this or one of 
aP4VfnU7Vv0,protein bars can be a great tool in your 
PfwKmtdUYK8,this is not a shamrock shake but it is a 
a-IV7HUzL5M,grown ass women do I'm a grown ass woman 
lZRU50mb0Yg,here's everything I eat in a day with no 
Ojy0BXC89dg,only eating junk food is not necessarily 
fOl2so7_8Xg,oh hey girl what's for dinner I made 
fwjSTaAradM,I'm trying to e intuitively but I'm not 
ZRURl82xq2c,dill pickle chicken salad is literally 
Q7vMd1j5ZOM,here's everything I eat in a day with no 
RgW_cjr5BjM,let's do this what are you doing this 
5y2gxzNm5hI,now sweetie don't eat all of Mommy's 100 
adIR4_gCdqE,check out my bun hun oh in mood for a 
dCzl7tDl5Yk,fear of weight gain is a learned 
jbWBxocBDpU,M apparently that's what all the cool 
jFszgVqBibA,oh man well good Morning Starshine 
ntBWhkt4C0M,oh yes come on I think this is what heaven 
yp9L2YHX3rQ,Susan is totally crushing her workouts 
GyyO_utJd0M,man her butt looks so much better in 
bn07VwwBT74,just lose a little weight and you'll be 
ppWxoUAOWL4,no no no girlfriend hey get that back 
Xsm2RzGhfVQ,check out my 17 ID omelette wo I heard 
WFs4irna43Q,[Music] cauliflower really can be 
xD5HTgHrxWs,time for breakfast what you making I'm embracing 
kOi7lLkqtqo,what if you can't deny the fact that you 
mEO2-xL-dB0,these honey mustard pretzels chicken 
6HuFBv9Uc2E,here's everything I ate this week with 
gmU3pfjReWE,clutch twinsies I'm making a wrap too 
0LCXoyHJJQ4,hi hi would you like some Girl Scout 
Pjq7JEHFS5A,check out my giant peanut butter cup 
MR9LUJ4fG3g,we all know I love my crumble cookies 
8Mc1CGgQJuk,the next time you're feeling anxious 
VIHn1gCdQNk,here's everything I eat in a day with no 
-6nB_9dGRZc,get these things out of here what are 
UVij6jO6Sg4,artificial sweeteners are like so bad 
ZhYmTFz7vyI,I'm a non-diet dietitian and here's why 
Yz8JRnd8swg,check out what I'm using for crackers 
BXq4Bjdse7c,[Music] look what you made me do look what you 
SqY0KhsQjfc,was anyone else a victim of the early 
LopSGZOjwFI,all righty time to eat this intuitively 
50YitWBNW6Q,I'm a non-diet dietitian and here is how 
OnYxiagWdA0,put that thing down you do know bananas 
XLD4ABiQWxM,I'm a registered dietician and here's 
qWNTaxLZXZQ,here's everything I eat in a day with no 
yzxE5ilsGpk,hey girlfriend what's up sh What I'm 
b_1BtITs8gY,I'm a non-diet dietitian and I bought 
ErczEGHvPwM,um do you like want to be depressed 
k4mvj6d3CqE,a gooey yet crispy cranberry quesadilla 
Tjxy6Gcss34,I like big sandwiches and I cannot lie 
GOWsQpQt7Ic,high protein hot chocolate want some I 
0ba-o_Obl3s,now sweetie don't eat all of Mommy's 100 
snSBz29HsNo,hey are you going to do the juice 
LtNt2kX30FA,Where's your green juice and are those 
1yXLTlPN3Co,and I'm feeling [Music] 
iKB3-ue5XzU,I wish I wasn't so restrictive and can 
01lU6Axt7xw,[Music] I cannot stop eating these because they 
J2vBI0FJ7D0,here is the real reason you can't stop 
H0ij7Yhiz6Y,here are the three things you need to 
URbFc8prMbk,it's okay to care about nutrition and 
aahaEOSjUdE,did you see Tina lost some weight good 
uQQC3NOLMug,when you stop dieting will your weight 
iGAhbTowKro,feel like you can't stop eating the 
3zH3XICXXWU,want to get o I'm going to get the 
yHBpGGsa_yo,here's what everyone gets wrong about 
hQD1fbh0DQk,yes see those bell jingle and ring 
zCuo58PSWnU,I think they forgot to make the 
1zP52MVcBwU,what you doing I got to eat as many as I 
OxpelrMle14,during the holidays one of my favorite 
iWOUK4_10yo,ooh look at all of these treats how are 
33a8GpiLPrc,hey fit fam today I'm going to show you 
G5ijzooEdJU,oh this one cookie is going to make me 
kD2zaPfO7_Q,what are you doing don't you know how 
5VlxQgTGC24,so apparently there's this trend going 
mH795_t_51s,m m 
QobZEL8Fb1Q,what are you doing I'm baking a cake 
sUiRciHb3_4,just because you eat a rice cake doesn't 
xJJ0-ywK9UM,spaghetti squash cottage cheese you and 
TwRFQQIn3aA,diet culture math be like if you eat one 
U0etm5vrL2w,I'm done with this junk whoa what's 
3xWvLIbcCcA,sure I love Oreos at home I eat them 
FVVjNBSA9e8,check out my sub bun you mean the 
-L3B0u_PpIY,bot up bottom up hey see you C got a 
Z1egqngvlIY,what can't cottage cheese do oh boy what 
9OH_uqxVYhY,one of the best things that I've done 
PvN4K3MQaIg,all right does anyone want any more food 
AuTdDqDuEKs,Rachel looks so thin in that dress I 
Zh6TeYkiSSw,I haven't eaten all day I've been saving 
QGtQ3JzdVr0,wow cousin Katie looks amazing meanwhile 
UnTQnNv9Fb4,I'm a registered dietitian and this is 
WHlJbqpDgxc,I'm a dietician and these are the snacks 
3itb5sjxWuo,have you tried the trending peanut 
V6CuRdDCvWQ,did you know that you can make an 
dVnpBwl9lFA,I would gain like 10 lb from eating a 
KO_gRb9VQwk,channeling my inner Joey trani with this 
wzbF-1tmsFs,did you know that if you take a 
rACQs1LjqrU,hey did you know you could eat this 
WrKhtmkc7yI,this literally changed my life I hate 
Lg10vWva6Iw,[Music] in the in the 
xfhw7P2JUAw,you kids are baking me so scared with 
4zBM81L3k4s,ooh what you making I'm making healthy 
eGl3HQg-Xqk,the switch witch has arrived a what you 
lkfUQqS_9bA,out of all three ways the Third Way is 
89bRE6563D4,did you know that if you take cottage 
rRZjG67xc04,sweetie you stop guzzling all of that 
cuIEuGTw2yw,what you doing oh I was going to bake 
Rttsyy30B7k,this recipe is about to break the 
LG-1Hwg1nc8,1 2 3 4 Everybody Makes Mistakes 
HtCw1ul1WgY,I am about to blow your mind I don't 
XRGMqDY1OZg,hey did you see that Tina lost some 
mM9NwSWqTng,micro has so much processed food hers is 
SVeJQy0Pq0I,what are you doing don't use that use 
eh4WJ8ey4qo,here's everything I ate in Boston for 
8AvQp461Lqo,time for breakfast what you making I'm embracing 
zRU81OKuhlE,never throw away an empty peanut butter 
WziE8fmd9BI,smoothies should only have a half a 
S_vuWUEITHY,don't eat this processed junk we should 
WK1lXbvmgYM,emotional eating is not bad I felt so 
at3KXBk1zac,hi everyone oh Tina I see you brought 
wVdnCDbSzRY,oh man well good Morning Starshine 
ghGKyrIQG5M,oh girl put that thing down I've got a 
c4nk7EQ3amw,we're going to do a little healthy 
AecvEcFosno,oh your mom gave you a Lunchable oh 
bXPuMLc2KEw,I'm a registered dietitian and I'm going 
_a71Pv2q7kk,granola are you gonna get the Special K 
bMlRCk4XHBE,breakfast time huh wait are those 
eqxm-xi3Wy0,these Frozen s'mores are currently 
JzVkmmi4j1U,um those are not muffins those are cakes 
UaJO21-0l0U,I am back with another full day of 
WDf28vHr5jg,oh man Heather took so much less food 
Z1kB_RloPdo,half foot around that you could air fry 
SKwrXQ92cbg,hello class I am Professor Health babe 
UyZk8HKw82E,come on um I cannot stop eating these because 
TUNHBgqcGY4,guys where are your green juices don't 
uPWFmgZ5OqU,I am obsessed with these Berry 
cAXsLFYLX0o,oh girl hang on I've got a healthy 
4V3IqJnbMhY,oh hey girl what's for dinner I made 
fCV6Z5L0vMw,hey girl I hope it's okay I brought some 
phqxPm-Dj5E,oh my gosh look at her she's like a 
zvgBqcL8WZ4,oh my thighs are huge these shorts are 
Our6q9WQgTo,what are you doing eating a donut yeah 
aUUGKv8aUss,state park has gone viral you have to 
j0FEuAhlBi4,thank you [Music] perfect one cup for breakfast I hope no 
lAt9lUJidoE,I don't know about you but I'm the type 
MHx4dSrs_hY,look it's iced cream 
7SbfsQfgYEo,[Music] oh sweetie don't eat too much of that 
71eC8SnNXSc,[Music] 
ZBPxV7x_QlQ,oh sweetie don't be rude here have a 
kgxPoBCqalA,man her butt looks so much better in 
BSxtE2kY8V8,it's okay if you're hungry and need a 
cJbtNb8iVcs,[Music] two teams 
-BBMgKwHXMM,again oh I'm gonna get the cookies Hells 
tB-_v_DOumI,I feel like I do so good during the day 
AXSs5hS819Q,that's my ideal meal this is my dinner I 
0SW28rPDyVI,here are three ways to strengthen your 
eyFj8Qn-dfQ,oh you should really be eating smaller 
KIl4vSdy4NA,here are three ways to strengthen your 
qtS1DBEQHIQ,this recipe makes four servings 
j5r--PpmyAE,all righty 
Tal7sdZ0ScY,stop trying to listen to your body I'm 
xZc-R0s09mI,case nobody told you today 
P7AFVJy4joU,I understand 
iPVKxiYLhNY,you really make this taste like this 
h7Hba6-yruI,this is the worst 
5nF3yO4ZnEo,hey we're gonna go on the ice cream run 
b5pQgXacFfM,hello I brought my favorite appetizer I 
KaLFfBPP8SA,alrighty I'm gonna have the hot dog and 
XelBsKn7obw,honey don't touch that chemical filled 
vEUzMFvesTk,oh I can basically feel everyone's judgy 
02Nkwg3VlUs,this doesn't have very many calories 
WMXcTIFq3RQ,no sweetie don't eat all of Mommy's 100 
8hSIvcfy6FI,make any salad way tastier and way more 
EcR6WKu5LG0,none of my undies fit girl you gotta fix 
fkSQZ08eNDA,sweetie it's so good to see you I made 
gQXKU90Ewjs,micro has so much processed food hers is 
v4lRTCVezhA,I would get like 10 pounds from eating a 
n96W4MLdxuo,[Music] foreign oh my gosh you're being so healthy you 
AWCZvQ0aRKw,you are such a little piggy where is 
k1TW6MbUyxc,you have got to try this life-changing 
0rHqeEmi7IM,lunch time same here I'm starving what 
uAqjN-URYS8,didn't you have toast for breakfast yeah 
rWpoxYTWjKE,hey fit fam today I'm going to show you 
Cie_8QyHxHE,we never restrict how much food you're 
YapNdkKMvoc,oh hey hot stuff I just love the way 
gLgtR0MQpII,what I ate yesterday does not dictate 
DlgUyrTJrXI,saying I'm obsessed with these is an 
Wnq0MdBqGco,where my girls 
npgrefXxxYc,I'm eating ice cream for breakfast 
