Video ID,Title,Transcript,Combined_Text
cME3DsSKKPk,Is this a high protein alternative to a Snicker’s ice cream bar?,I saw someone turn this yogurt cup into this really delicious looking snack that apparently tastes like a Snickers ice cream bar so today we're gonna try it so first get your vanilla Greek or Icelandic yogurt and mix it with peanut butter then you're gonna top it with,Is this a high protein alternative to a Snicker’s ice cream bar? I saw someone turn this yogurt cup into this really delicious looking snack that apparently tastes like a Snickers ice cream bar so today we're gonna try it so first get your vanilla Greek or Icelandic yogurt and mix it with peanut butter then you're gonna top it with
No-g-ZcjXNA,Episode 12 of realistic nutrition tips #shorts,if you're like me and struggled putting dinner together every night get one of these I'm a dietitian and welcome back to another episode of realistic nutrition tips today we're going to be making a delicious meal in five minutes and we're gonna do it by steaming fish,Episode 12 of realistic nutrition tips #shorts if you're like me and struggled putting dinner together every night get one of these I'm a dietitian and welcome back to another episode of realistic nutrition tips today we're going to be making a delicious meal in five minutes and we're gonna do it by steaming fish
HZcC-NPSXis,Let’s pack my bag for a hike! #LiquidIVPartner,let's check my bag for a hike today there's one thing about me it's that I'm the person in the friend group that brings everything that anyone might ever need and it's not just because I'm a Virgo and I plan everything in my life but also because it's one time my friend,Let’s pack my bag for a hike! #LiquidIVPartner let's check my bag for a hike today there's one thing about me it's that I'm the person in the friend group that brings everything that anyone might ever need and it's not just because I'm a Virgo and I plan everything in my life but also because it's one time my friend
ieJ9BbTyvSM,Let’s make dinner for my parents #shorts,when my grandma was diagnosed with Alzheimer's three years ago I was living five thousand miles away in Boston I immediately moved to LA to be close to my family in Hawaii to see her more often and help out as much as I could I think everyone knows what Alzheimer's is,Let’s make dinner for my parents #shorts when my grandma was diagnosed with Alzheimer's three years ago I was living five thousand miles away in Boston I immediately moved to LA to be close to my family in Hawaii to see her more often and help out as much as I could I think everyone knows what Alzheimer's is
7SFs3rCqc30,The best Trader Joe’s sandwich #shorts,I'm convinced that I've made the best Trader Joe's sandwich and I've been eating it non-stop I'm a dietitian and this is honestly the perfect work from home lunch and today I'm going to show you how I make it this is everything you're going to need first you're going,The best Trader Joe’s sandwich #shorts I'm convinced that I've made the best Trader Joe's sandwich and I've been eating it non-stop I'm a dietitian and this is honestly the perfect work from home lunch and today I'm going to show you how I make it this is everything you're going to need first you're going
NXJxsV41ZmA,What I’m eating for lunch and why #shorts,I'm a dietitian and I'm meeting spam for lunch and I'm going to tell you why welcome back to the series where I show you what I'm eating and why I was born and raised in Hawaii where spam is one of the most popular foods but when I moved to the mainland I was told that spam was a gross canned meat that I,What I’m eating for lunch and why #shorts I'm a dietitian and I'm meeting spam for lunch and I'm going to tell you why welcome back to the series where I show you what I'm eating and why I was born and raised in Hawaii where spam is one of the most popular foods but when I moved to the mainland I was told that spam was a gross canned meat that I
X09MisWUHJY,What I ate in a day in NYC #shorts,what I ate in a day in New York City I started off my day with my favorite meal in my favorite place Raku I got a quinceanero dawn with extra wakame this is basically my comfort meal so this always hits the spot I've been seeing,What I ate in a day in NYC #shorts what I ate in a day in New York City I started off my day with my favorite meal in my favorite place Raku I got a quinceanero dawn with extra wakame this is basically my comfort meal so this always hits the spot I've been seeing
i3qjdX18Quo,Episode 11 of realistic nutrition tips #shorts,confession the idea of cooking a whole meal from scratch every night is so overwhelming so this is what I do to make busy weeks easier I'm a dietitian and welcome back to my series realistic nutrition tips today we're making a dump,Episode 11 of realistic nutrition tips #shorts confession the idea of cooking a whole meal from scratch every night is so overwhelming so this is what I do to make busy weeks easier I'm a dietitian and welcome back to my series realistic nutrition tips today we're making a dump
0a790Ti63Gw,Let’s try the viral cucumber pepper snack #shorts,today we're trying the viral cucumber pepper snack I'm addition and this seems like a fun way to eat vegetables so I'll try it out and give my two cents on it all you need are cucumbers mini sweet peppers add both to the Bowl,Let’s try the viral cucumber pepper snack #shorts today we're trying the viral cucumber pepper snack I'm addition and this seems like a fun way to eat vegetables so I'll try it out and give my two cents on it all you need are cucumbers mini sweet peppers add both to the Bowl
07yNw7rMFWs,Episode 10 of realistic nutrition tips #shorts,as most of us know I have ADHD and this is my simple trick for getting in more veggies throughout the week I'm welcome back to episode 10 of realistic nutrition tips make a vegetarian that you can eat,Episode 10 of realistic nutrition tips #shorts as most of us know I have ADHD and this is my simple trick for getting in more veggies throughout the week I'm welcome back to episode 10 of realistic nutrition tips make a vegetarian that you can eat
IbsXsI9rtAk,Is frozen cottage cheese a good alternative to ice cream? #shorts,so people have been making ice cream out of cottage cheese I'm a dietitian and we're gonna try it out today first you're going to take a container of cottage cheese some strawberries some honey now we're gonna blend this after blending I'm just going to add,Is frozen cottage cheese a good alternative to ice cream? #shorts so people have been making ice cream out of cottage cheese I'm a dietitian and we're gonna try it out today first you're going to take a container of cottage cheese some strawberries some honey now we're gonna blend this after blending I'm just going to add
29NFFYP6ETY,"Day 5: 1 week of healthy, easy meals #shorts",welcome back to the series where I show you one week of dinners you can make with one grocery list for our last day we're making a 30 minute garlic herb salmon dinner the best thing about this meal is that you don't have to wash a lot of dishes afterwards because everything goes on the baking sheet I,"Day 5: 1 week of healthy, easy meals #shorts welcome back to the series where I show you one week of dinners you can make with one grocery list for our last day we're making a 30 minute garlic herb salmon dinner the best thing about this meal is that you don't have to wash a lot of dishes afterwards because everything goes on the baking sheet I"
ft45mlqPlEM,"Day 4: 1 week of healthy, easy dinners #shorts",welcome back to the series where I show you one week of dinners you can make with one grocery list for day four we're making one of my favorite go-to dinners when I'm feeling lazy I need a home-cooked meal in under 15 minutes it's a Chipotle bowl and you can add as,"Day 4: 1 week of healthy, easy dinners #shorts welcome back to the series where I show you one week of dinners you can make with one grocery list for day four we're making one of my favorite go-to dinners when I'm feeling lazy I need a home-cooked meal in under 15 minutes it's a Chipotle bowl and you can add as"
VGmnwkepgMI,"Day 3: 1 week of healthy, easy dinners",if you're trying to eat healthier but are overwhelmed with meal planning welcome to the series where I show you one week of dinners you can make with one grocery list for day three we're making a chicken orzo Bowl First You're Gonna marinate your chicken and then cook it on the stovetop and then in the,"Day 3: 1 week of healthy, easy dinners if you're trying to eat healthier but are overwhelmed with meal planning welcome to the series where I show you one week of dinners you can make with one grocery list for day three we're making a chicken orzo Bowl First You're Gonna marinate your chicken and then cook it on the stovetop and then in the"
Lo5Xu-8DUN4,"Day 2: 1 week of healthy, easy dinners #shorts",if you're trying to eat healthier but are overwhelmed with meal planning welcome to the series where I show you one week of meals you can make with one grocery list for day two we're having my five minute Sesame garlic tofu all you need to do is make this sauce with these,"Day 2: 1 week of healthy, easy dinners #shorts if you're trying to eat healthier but are overwhelmed with meal planning welcome to the series where I show you one week of meals you can make with one grocery list for day two we're having my five minute Sesame garlic tofu all you need to do is make this sauce with these"
Y0s6IbUNgfI,"Day 1: 1 week of healthy, easy dinners #shorts",if you're trying to eat healthier but are overwhelmed with meal planning welcome to the series where I show you five simple dinners you can make with one grocery list for day one we're making a one pot chicken pesto pasta first you're going to season and cook your chicken in a pot after that's,"Day 1: 1 week of healthy, easy dinners #shorts if you're trying to eat healthier but are overwhelmed with meal planning welcome to the series where I show you five simple dinners you can make with one grocery list for day one we're making a one pot chicken pesto pasta first you're going to season and cook your chicken in a pot after that's"
m3Xb36V_2vM,Let’s make breakfast for my friends #shorts,let's make breakfast for my friends I met them on the Internet a little over two years ago and we've been texting and FaceTiming since we've been planning,Let’s make breakfast for my friends #shorts let's make breakfast for my friends I met them on the Internet a little over two years ago and we've been texting and FaceTiming since we've been planning
rR1QQZxPDpw,Let’s make kimchi #shorts,let's make kimchi first you're going to sprinkle salt on each leaf heat water and sweet rice flour until it,Let’s make kimchi #shorts let's make kimchi first you're going to sprinkle salt on each leaf heat water and sweet rice flour until it
zfP9yZAgeLY,Day 9 of realistic nutrition tips #shorts,this is one of my favorite meal prep tools I'm a dietitian and welcome to episode 9 of realistic nutrition tips instead of freezing your soup in larger batches can be easier to pour them into these portion one cup silicone molds so you can easily pop them out and heat,Day 9 of realistic nutrition tips #shorts this is one of my favorite meal prep tools I'm a dietitian and welcome to episode 9 of realistic nutrition tips instead of freezing your soup in larger batches can be easier to pour them into these portion one cup silicone molds so you can easily pop them out and heat
2b9z_FwwDlE,What this dietitian ate for breakfast #shorts,I'm a dietitian and is what I ate for breakfast if you love a hot saver breakfast but don't want to spend more than a few minutes cooking try the spring chicken bone broth kale and mushrooms to a boil cover and reduce heat to medium for a few minutes adding quick oats and optionally nutritional,What this dietitian ate for breakfast #shorts I'm a dietitian and is what I ate for breakfast if you love a hot saver breakfast but don't want to spend more than a few minutes cooking try the spring chicken bone broth kale and mushrooms to a boil cover and reduce heat to medium for a few minutes adding quick oats and optionally nutritional
yJspQI7XeoE,What this dietitian eats for breakfast and why #shorts,I'm a dietitian and I'm having frozen waffles for breakfast and I'm gonna tell you why welcome back to the little Series where I show you what I'm eating and why before you say ill Kylie what dietitian eats waffles for breakfast me the answer is me because sometimes I,What this dietitian eats for breakfast and why #shorts I'm a dietitian and I'm having frozen waffles for breakfast and I'm gonna tell you why welcome back to the little Series where I show you what I'm eating and why before you say ill Kylie what dietitian eats waffles for breakfast me the answer is me because sometimes I
fmU41Ymn86Q,Let’s make a snack for the Super Bowl #shorts,when I was 13 I briefly had a crush on a guy who was really into football so naturally he asked if I like football I wanted him to like me so I said oh yeah totally and then he said oh what team do you like and since we were talking over,Let’s make a snack for the Super Bowl #shorts when I was 13 I briefly had a crush on a guy who was really into football so naturally he asked if I like football I wanted him to like me so I said oh yeah totally and then he said oh what team do you like and since we were talking over
wTGLwZXJ8kI,My favorite IBS-friendly dinner #shorts,my stomach is not having it today we're making my favorite IBS friendly meal also one of my favorite meals even when I feel 100 and it is so easy let me show you just combine one tablespoon of soy,My favorite IBS-friendly dinner #shorts my stomach is not having it today we're making my favorite IBS friendly meal also one of my favorite meals even when I feel 100 and it is so easy let me show you just combine one tablespoon of soy
PNTmE9wiJB4,How to make frozen veggies taste good part 2 #shorts,last time I showed you how to cook frozen green beans so today I'm going to show you how to roast frozen broccoli specifically how to prevent it from getting soggy toss the Frozen Flora some olive oil salt pepper garlic powder and paprika then space them out on a baking,How to make frozen veggies taste good part 2 #shorts last time I showed you how to cook frozen green beans so today I'm going to show you how to roast frozen broccoli specifically how to prevent it from getting soggy toss the Frozen Flora some olive oil salt pepper garlic powder and paprika then space them out on a baking
7cqh6oOLuao,Let’s make frozen grape sorbet #shorts,I've been seeing videos of people making sorbet out of frozen grapes So today we're going to try to do that all you have to do is add Frozen grapes and a little bit of lemon juice and all we have to do is blend this,Let’s make frozen grape sorbet #shorts I've been seeing videos of people making sorbet out of frozen grapes So today we're going to try to do that all you have to do is add Frozen grapes and a little bit of lemon juice and all we have to do is blend this
FQSPN88ZnAk,Foods I wouldn’t buy as a dietitian part 3,here are foods I would never buy as a dietitian I wouldn't buy this because I prefer the barbecue chicken pizza much more I wouldn't buy this because my mom had a blueberry waffle face when I was a kid and I ate so many that I can't even look at them I wouldn't buy this because they're too thin and crunchy and the,Foods I wouldn’t buy as a dietitian part 3 here are foods I would never buy as a dietitian I wouldn't buy this because I prefer the barbecue chicken pizza much more I wouldn't buy this because my mom had a blueberry waffle face when I was a kid and I ate so many that I can't even look at them I wouldn't buy this because they're too thin and crunchy and the
DKbanV5SCxs,Day 8 of realistic nutrition tips #shorts,and this is episode 8 of realistic nutrition tips instead of buying fresh produce and having it go bad before you finish it let me show you how to cook some frozen veggies today I'm going to specifically show you how to cook frozen green beans add your frozen green beans,Day 8 of realistic nutrition tips #shorts and this is episode 8 of realistic nutrition tips instead of buying fresh produce and having it go bad before you finish it let me show you how to cook some frozen veggies today I'm going to specifically show you how to cook frozen green beans add your frozen green beans
kEOu0kEMFTo,How to make a no bake protein brownie #shorts,I like protein bars but I love my no-bake chocolate peanut butter protein brownie even more because not only do they have 10 grams of protein but they're so delicious and so easy to make let me show you how to make them you're going to mix together almond flour two,How to make a no bake protein brownie #shorts I like protein bars but I love my no-bake chocolate peanut butter protein brownie even more because not only do they have 10 grams of protein but they're so delicious and so easy to make let me show you how to make them you're going to mix together almond flour two
DxFc-CWBu_g,A new way to eat tofu? #shorts,so I saw a video of someone who was toasting their tofu So today we're gonna try it but instead of putting the tofu directly in the toaster like the person was doing I'm gonna use these reusable toaster bags so I don't cause an electrical fire I'm using extra firm,A new way to eat tofu? #shorts so I saw a video of someone who was toasting their tofu So today we're gonna try it but instead of putting the tofu directly in the toaster like the person was doing I'm gonna use these reusable toaster bags so I don't cause an electrical fire I'm using extra firm
R2VK5UM6_xQ,Day 7 of realistic nutrition tips #shorts,I'm a writing and this is episode 7 of realistic nutrition tips you can start today and this is specifically for all my past lovers out there who hate doing dishes if you're making pasta and want to include a veggie in your meal add it to your pasta while it's still boiling,Day 7 of realistic nutrition tips #shorts I'm a writing and this is episode 7 of realistic nutrition tips you can start today and this is specifically for all my past lovers out there who hate doing dishes if you're making pasta and want to include a veggie in your meal add it to your pasta while it's still boiling
qjpohStyejU,A quick dinner #shorts,this is my super easy and quick 30 minute dinner just kidding it took two hours but did you believe me like how I believe the food blog that told me this wouldn't take longer than three minutes either way this is my hiya for dinner tonight,A quick dinner #shorts this is my super easy and quick 30 minute dinner just kidding it took two hours but did you believe me like how I believe the food blog that told me this wouldn't take longer than three minutes either way this is my hiya for dinner tonight
96w2vyH05-g,What is the difference between a dietitian and nutritionist? #shorts,I'm a dietitian and I'm also technically a nutritionist however not all nutritionists are dietitians let's talk about the differences between the two because there are big differences depending on what country you're in in the United States dietitians must meet,What is the difference between a dietitian and nutritionist? #shorts I'm a dietitian and I'm also technically a nutritionist however not all nutritionists are dietitians let's talk about the differences between the two because there are big differences depending on what country you're in in the United States dietitians must meet
FnxEWjYEj_4,Is hearts of palm a healthy snack? #shorts,so apparently heart of palms is supposed to be a healthy low-calorie snack that resembles string cheese I'm a dietitian and today we're going to try this and talk about this this is what it looks like but you can just peel it apart,Is hearts of palm a healthy snack? #shorts so apparently heart of palms is supposed to be a healthy low-calorie snack that resembles string cheese I'm a dietitian and today we're going to try this and talk about this this is what it looks like but you can just peel it apart
psLBKgXQppY,Day 6 of realistic nutrition tips #shorts,I'm a dietitian and this is episode 6 of realistic nutrition tips that you can start today if you want to increase your protein intake add bone broth to your rice or quinoa when cooking one cup of bone broth has 10 grams of protein this way your rice will be super flavorful,Day 6 of realistic nutrition tips #shorts I'm a dietitian and this is episode 6 of realistic nutrition tips that you can start today if you want to increase your protein intake add bone broth to your rice or quinoa when cooking one cup of bone broth has 10 grams of protein this way your rice will be super flavorful
QG6-FQ2U7WI,Why I post easy meals and nutrition tips #shorts,I always thought I was lazy but it turns out I just had ADHD growing up I always looked at other people's meal preps and Healthy Lifestyles and as a dietitian I thought there must be something wrong with me since my life didn't look like that especially since my life is,Why I post easy meals and nutrition tips #shorts I always thought I was lazy but it turns out I just had ADHD growing up I always looked at other people's meal preps and Healthy Lifestyles and as a dietitian I thought there must be something wrong with me since my life didn't look like that especially since my life is
8US8t96-WEE,Breakfast is not the most important meal of the day #shorts,hot take but breakfast is not the most important meal of the day dinner is well at least for me I look forward to dinner because days have gotten to be overwhelming and dinner is one of the only times I can actually allow my brain,Breakfast is not the most important meal of the day #shorts hot take but breakfast is not the most important meal of the day dinner is well at least for me I look forward to dinner because days have gotten to be overwhelming and dinner is one of the only times I can actually allow my brain
qzVuvyn4w6Q,Foods I wouldn't buy as a dietitian part 2,part two of foods I would never buy as a dietitian I wouldn't buy this because they're much more fun to eat when they're shaped like dinosaurs I wouldn't buy this because I ate so much of these as a kid that I almost vomited and now I'm scarred I wouldn't buy this because the box is damaged and I wouldn't buy,Foods I wouldn't buy as a dietitian part 2 part two of foods I would never buy as a dietitian I wouldn't buy this because they're much more fun to eat when they're shaped like dinosaurs I wouldn't buy this because I ate so much of these as a kid that I almost vomited and now I'm scarred I wouldn't buy this because the box is damaged and I wouldn't buy
uCm007BPvPg,What I ate for breakfast #shorts,I'm a dietitian and is what I eat for breakfast and I promise this only takes five minutes I cooked quick oats with soy sauce and grated Ginger after a minute I removed it from the Heat and stirred in white miso last but not least I topped it with edamame green onions,What I ate for breakfast #shorts I'm a dietitian and is what I eat for breakfast and I promise this only takes five minutes I cooked quick oats with soy sauce and grated Ginger after a minute I removed it from the Heat and stirred in white miso last but not least I topped it with edamame green onions
TQLTuAPMJtc,Day 5 of realistic nutrition tips #shorts,I'm a dietitian and this is day five of realistic nutrition tips and this is more related to cooking because sometimes the key to good nutrition is taking steps to learn how to make home cooking more manageable so whenever you're preparing vegetables keep a mini,Day 5 of realistic nutrition tips #shorts I'm a dietitian and this is day five of realistic nutrition tips and this is more related to cooking because sometimes the key to good nutrition is taking steps to learn how to make home cooking more manageable so whenever you're preparing vegetables keep a mini
z_2PiGgCYIE,Foods I wouldn’t buy as a dietitian #shorts,Euro Foods I would never buy as a dietitian I would never get this because chocolate cake is much more delicious than red velvet I would never get this because I'm extremely lactose intolerant and will have diarrhea I would never buy this because I highly prefer smooth,Foods I wouldn’t buy as a dietitian #shorts Euro Foods I would never buy as a dietitian I would never get this because chocolate cake is much more delicious than red velvet I would never get this because I'm extremely lactose intolerant and will have diarrhea I would never buy this because I highly prefer smooth
H0f4_XHNRNs,Does this raw carrot salad actually balance your hormones? #shorts,apparently the raw carrots out that I'm about to show you is supposed to balance hormones I'm a dietitian let's see how it tastes and talk about whether or not this works so first we're going to shave our carrots then add extra virgin olive oil some,Does this raw carrot salad actually balance your hormones? #shorts apparently the raw carrots out that I'm about to show you is supposed to balance hormones I'm a dietitian let's see how it tastes and talk about whether or not this works so first we're going to shave our carrots then add extra virgin olive oil some
SFLfz3K_21A,Let’s make a dish for a cultural food party #shorts ￼,let's make a dish for a cultural food party so we're all supposed to bring food from our own culture and I really thought about this because although I'm Japanese being from Hawaii is obviously a big part of my identity and it's so underrepresented given how small the,Let’s make a dish for a cultural food party #shorts ￼ let's make a dish for a cultural food party so we're all supposed to bring food from our own culture and I really thought about this because although I'm Japanese being from Hawaii is obviously a big part of my identity and it's so underrepresented given how small the
lExxiSII-lA,Easy trick to clean your blender #shorts,do you like smoothies but hate cleaning it let me show you this easy trick instead of soaking this and then just not washing it until hours later pour some water and some dish soap and blend,Easy trick to clean your blender #shorts do you like smoothies but hate cleaning it let me show you this easy trick instead of soaking this and then just not washing it until hours later pour some water and some dish soap and blend
nsN68mzmPrw,Day 4 of realistic nutrition tips #shorts,I'm a dietitian and this is day four of realistic nutrition tips if you're like me the sheer idea of gathering ingredients for smoothies in the morning to make a smoothie can sometimes be overwhelming so I like to make it easier for my future self by doing this it's as,Day 4 of realistic nutrition tips #shorts I'm a dietitian and this is day four of realistic nutrition tips if you're like me the sheer idea of gathering ingredients for smoothies in the morning to make a smoothie can sometimes be overwhelming so I like to make it easier for my future self by doing this it's as
AkrXs5WxjT0,My easy low-prep meal (mason jar noodles part 4),meal prepping can be hard so let's prep my easy mason jar noodles let's add the base first which is chili garlic oil soy sauce sesame oil and vegetable better than bouillon then add kimchi snow peas,My easy low-prep meal (mason jar noodles part 4) meal prepping can be hard so let's prep my easy mason jar noodles let's add the base first which is chili garlic oil soy sauce sesame oil and vegetable better than bouillon then add kimchi snow peas
27IqAin0tYw,Mindsets about food that need to change in 2023 #shorts,I'm a dietitian and these are mindsets about food that need a change in 2023. I saw someone do a video on this and really enjoyed it so I wanted to do my own version just because something is non-GMO doesn't mean it's healthier that juice cleanse will not detoxify your,Mindsets about food that need to change in 2023 #shorts I'm a dietitian and these are mindsets about food that need a change in 2023. I saw someone do a video on this and really enjoyed it so I wanted to do my own version just because something is non-GMO doesn't mean it's healthier that juice cleanse will not detoxify your
z9ZwQVUIIkE,What I did on my last day home in Hawaii #shorts,what I did on my last day home in Hawaii first I went to the kakaako farmers market to shop local walk around and eat I got a steamed bow bun which was so good then I went to go looks to get okazuya which is a local style Japanese,What I did on my last day home in Hawaii #shorts what I did on my last day home in Hawaii first I went to the kakaako farmers market to shop local walk around and eat I got a steamed bow bun which was so good then I went to go looks to get okazuya which is a local style Japanese
SF9LzyUK5OQ,I visit this place every time I come home,every time I come home I visit this Indian vegetarian restaurant I had a close friend pass away unexpectedly a few years ago and she used to share places she loved the people she loved and this was one of the places that she shared with me and the rest of our,I visit this place every time I come home every time I come home I visit this Indian vegetarian restaurant I had a close friend pass away unexpectedly a few years ago and she used to share places she loved the people she loved and this was one of the places that she shared with me and the rest of our
ACzq2lsX2k8,Why I feel conflicted about my culture #shorts,as an Asian American I feel conflicted about my culture and not because I'm not proud of it or anything but because I feel like there are aspects of my Japanese and Okinawan culture that I'm not even familiar with since so many,Why I feel conflicted about my culture #shorts as an Asian American I feel conflicted about my culture and not because I'm not proud of it or anything but because I feel like there are aspects of my Japanese and Okinawan culture that I'm not even familiar with since so many
vH4le-bGWtc,Let’s make an easy vegetable side dish #shorts,let's make a Japanese New Year's dish together namasu is an easy vegetable side dish that takes very little time first peel your diet cone then peel your carrot now that they're naked we're going to cut them into matchsticks,Let’s make an easy vegetable side dish #shorts let's make a Japanese New Year's dish together namasu is an easy vegetable side dish that takes very little time first peel your diet cone then peel your carrot now that they're naked we're going to cut them into matchsticks
4zcFowmtEQw,Let’s make an easy Hawaii dinner #shorts,let's make an easy dinner while I'm home in Hawaii this is honestly one of the simplest recipes and it takes less than 30 minutes today we're making teriyaki chicken which is a popular Japanese dish that's commonly served in Hawaii first of chicken thighs on medium heat until,Let’s make an easy Hawaii dinner #shorts let's make an easy dinner while I'm home in Hawaii this is honestly one of the simplest recipes and it takes less than 30 minutes today we're making teriyaki chicken which is a popular Japanese dish that's commonly served in Hawaii first of chicken thighs on medium heat until
EJiJmk7Jwho,What I ate in a day in Hawaii #shorts,everything I ate in a day while in Hawaii first I had this breakfast bibimbap with carrots bean sprouts water spinach kimchi mushrooms egg and rice and this was so flavorful and the perfect way to start my day for lunch I had to show you Aji poke bowl with rice,What I ate in a day in Hawaii #shorts everything I ate in a day while in Hawaii first I had this breakfast bibimbap with carrots bean sprouts water spinach kimchi mushrooms egg and rice and this was so flavorful and the perfect way to start my day for lunch I had to show you Aji poke bowl with rice
QGor7f96ai8,Let’s make a holiday dinner #shorts,I'm back home in Hawaii let's make chapty for a Christmas dinner today making chopje which is a popular Korean dish with vegetables and noodles and I really wanted to make it for my fiance Alex whose favorite dish is chop Jay and for Alex's Korean Grandma who is also,Let’s make a holiday dinner #shorts I'm back home in Hawaii let's make chapty for a Christmas dinner today making chopje which is a popular Korean dish with vegetables and noodles and I really wanted to make it for my fiance Alex whose favorite dish is chop Jay and for Alex's Korean Grandma who is also
-UZpmlhPiR0,What I ate on my flight home to Hawaii #shorts,everything I ate on my flight home to Hawaii for dinner I had this garlic pesto and diced tomato chicken bagel roll with Maui style chips and a Honolulu Cookie Company cookie The Bagel rule is fine basically everything you would expect but I did love this cookie,What I ate on my flight home to Hawaii #shorts everything I ate on my flight home to Hawaii for dinner I had this garlic pesto and diced tomato chicken bagel roll with Maui style chips and a Honolulu Cookie Company cookie The Bagel rule is fine basically everything you would expect but I did love this cookie
