ID,transcript_with_punctuation
ZD21rjVPpl8,"if you hate meal prepping and love miso soup, then you'll love this. I'm back with another mason jar noodle recipe and this one is, as you may have guessed, a miso soup jar. first add red miso- is your base. then add Dashi, which you can get online or at most Asian stores. add tofu as your protein, then some veggies- I'm using spinach and shredded carrots. now add your noodles- as always you can get rice noodles, but I'm using mungu noodles, if you want, adding green onions. store it in the fridge for a quick lunch throughout the week, but when you're ready, bring the jar to room temperature, add hot water and leave it for 10 minutes. I'm adding seaweed because I love that in my miso soup, but you can shake it or invert it to let the music break up and flavors Infuse. it is so good. so"
cME3DsSKKPk,"I saw someone turn this yogurt cup into this really delicious looking snack that apparently tastes like a Snickers ice cream bar. so today we're gonna try it. so first get your vanilla, Greek or Icelandic yogurt and mix it with peanut butter. then you're gonna top it with melted chocolate chips. it's just gonna form this nice layer on top of the yogurt. you can also add chopped peanuts, coconut flakes and flaky sea salt and freeze for around 15 minutes. you should have a fun Chocolate shell that you can break and mix in with the yogurt and peanut butter. let's try it. wow, oh, that's good. this is delicious and it has 20 grams of protein. of course, you should have Snickers ice cream bar if you want that, but this is a great high protein snack option if you love chocolate peanut butter."
No-g-ZcjXNA,"if you're like me and struggled putting dinner together every night, get one of these. I'm a dietitian, and welcome back to another episode of realistic nutrition tips. today we're going to be making a delicious meal in five minutes and we're gonna do it by steaming fish and veggies in the microwave. this is gonna feel weird if you've never done this before and before you say: why don't you just use the oven or stove? if you're a college student living in a dorm, chronically ill, have no stove or oven, have executive dysfunction, or maybe you're just overwhelmed by recipes with a lot of steps, cooking food in the microwave can be the most convenient and quickest way to get food on your table. so after you salt and pepper your fish and cut some slits into it, stir it together, a little bit of olive oil, minced garlic, Italian herbs, lemon juice and paprika and brush it on your salmon, you can add a little olive oil and then season your asparagus with whatever. all you're going to do now is cover this and pop it in the microwave for four minutes. asparagus only takes half the time, so you can just pop it in halfway, but after a few minutes you'll have fully cooked salmon and veggies. I also heated up Frozen brown rice to complete my meal, but this is the final meal. just remember that your meals don't have to be fancy in order to be nutritious. that's so good, so quick and so delicious."
HZcC-NPSXis,"let's check my bag for a hike today. there's one thing about me: it's that I'm the person in the friend group that brings everything that anyone might ever need. and it's not just because I'm a Virgo and I plan everything in my life, but also because it's one time my friend, who's very athletic and spontaneous, picked me up one day and told me we were going on a chill hike and that I didn't need to bring anything, even water. so I trusted him and he ended up taking me on a hike up the side of a steed Mountain. there's no Trail, just Vibes. it was noon, so it was really hot and I ended up passing out from dehydration and exhaustion because we had no water or food. oh, and it could chase this. once we got to the top for my hike today, I have one of my snack packs with roasted chickpeas, chili, roasted pistachios, dry roasted edamame, dried mangoes and pretzels. they should have some carbs to replenish my energy and some protein to keep me going. I also have water, this time liquid IV, which will hydrate me faster than water alone. in the case that this hike is very hot and very strenuous, which is very likely now that it's summer. they have a lot of great flavors, but passion fruit is my favorite one. I also have sunscreen to protect my skin, toilet paper- because you never know- sunglasses, hand sanitizer and my portable charger for my phone. I'm all packed and ready to go. if you're still hoping, this hike is much less stressful than my other one."
ieJ9BbTyvSM,"when my grandma was diagnosed with Alzheimer's three years ago, I was living five thousand miles away in Boston. I immediately moved to LA to be close to my family in Hawaii, to see her more often and help out as much as I could. I think everyone knows what Alzheimer's is, but no one prepares you for what it truly is. it's saying goodbye multiple times in multiple different ways. whether it's saying goodbye to the last time they'll remember your secret handshake or the last time they'll remember your name. it's a long goodbye that's drawn out over multiple years and is just as painful the last time as it is the first time for older family members. it's taking care of them in the same way they took care of you when you were younger and coping with knowing it will never be the same as it was before. but when the end does come, there's relief in knowing that the person is finally at peace after a long battle. my grandma passed peacefully the other week and I spent the past week and a half at home, offline and with family and friends. tonight is the night after the service, so I'm making dinner for my parents, since they've been exhausted, and in times like these, making food for someone is the perfect way to show them that I love them and that, no matter what happens, I will always love them and care for them too."
7SFs3rCqc30,"I'm convinced that I've made the best Trader Joe's sandwich and I've been eating it non-stop. I'm a dietitian and this is, honestly, the perfect work from home lunch, and today I'm going to show you how I make it. this is everything you're going to need. first, you're going to toast your bread, add vegan pesto on one of the slices and add the garlic spread dip on the other slice. then you're gonna get the grilled lemon pepper chicken. it's already fully cooked, so all you have to do is microwave it or heat it up on the stove. honestly, it's whatever you have the energy and time for. now you're just gonna add the salad onto the chicken. the salad has arugula, carrots, parmesan, almonds and the most delicious basil lemon vinaigrette. and feel free to add tomato if you like tomato. I know it looks ridiculous because there's a lot of Greens in there, but trust me, it is honestly so good and this is what it looks like. I'm so excited to eat it. let's try it. um, this is so good."
NXJxsV41ZmA,"I'm a dietitian and I'm meeting spam for lunch and I'm going to tell you why. welcome back to the series where I show you what I'm eating and why. I was born and raised in Hawaii, where spam is one of the most popular foods, but when I moved to the mainland I was told that spam was a gross canned meat that I should completely avoid because it's unhealthy. but if you're like me and you find this unrealistic, because you still want to have spam from time to time because you love it, or maybe it's a more affordable and convenient protein option, let me show you what we can add to it to make it a more filling and nutritious meal. first, let's add some carbs, because we've got to have some rice with our spam. we'll also add some veggies like cucumbers and carrots for more fiber nutrients, our Teriyaki glazed spam for some protein, and egg for even more protein. now just fold it up and you kind of have a more filling spam listed with more nutrients. always remember to focus on one you can add too, not what you can subtract from your meals."
X09MisWUHJY,"what I ate in a day in New York City. I started off my day with my favorite meal in my favorite place, Raku. I got a quinceanero dawn with extra wakame. this is basically my comfort meal, so this always hits the spot. I've been seeing videos of people trying to find the best chicken Caesar salad wrap and my friend recommended cutlets. so I tried their whole wheat wrap and, guys, it was so good. there may not have been as many veggies as you want to see from a dietitian, but I thoroughly enjoy this. for dinner, I went to Bluefin before a Broadway show. I had some crab cakes with kimchi, marinated crab claws, and then miso glazed Bass with broccolini and rice. I've been loving fish this past year, so this was a great dinner. I've been visiting close friends that I haven't seen in years throughout the East Coast these past few weeks, but I'm back and I'm excited to post more videos soon."
i3qjdX18Quo,"confession. the idea of cooking a whole meal from scratch every night is so overwhelming. so this is what I do to make busy weeks easier. I'm a dietitian and welcome back to my series realistic nutrition tips. today we're making a dump and go meal. so basically you just dump everything in a freezer bag, freeze it thought and then just dump it in the slow cooker when you want a meal and before someone says: how does this make things easier if you're already cooking, when you have kids or if you do life or a chronic illness, executive dysfunction, the best thing you can do to set yourself up for success is to prepare ahead of time when you do have the capacity to take on extra tasks. so today I'm going to make my lazy beef and broccoli kind of meal. I added boneless chuck roast, soy sauce, beef broth, garlic, ginger, sesame oil and brown sugar. I'm just gonna kind of mix this around, add some veggies. I chose broccoli. you can do frozen or fresh, whatever is more accessible to you- and that's it. you can also write instructions if you want to make it easier for your future self to remember. but all I have to do now is thaw this overnight and then throw to my slow cooker on high for four hours and then enjoy with rice easy."
0a790Ti63Gw,"today we're trying the viral cucumber pepper snack. I'm addition and this seems like a fun way to eat vegetables, so I'll try it out and give my two cents on it. all you need are cucumbers, mini sweet peppers, add both to the Bowl, add some ginger dressing, everything but the bagel seasoning and chili oil. now I'm just going to mix it all together. so this is what it looks like. let's try it out. that's good, um like. I feel like I could eat this whole thing, and I wouldn't be able to do that if it were just plain. it's like a low effort salad. if you want to stay more satisfied, definitely recommend adding some protein like edamame. if you're looking for a new way to eat more vegetables, this is a good option. I would definitely recommend."
07yNw7rMFWs,"as most of us know, I have ADHD and this is my simple trick for getting in more veggies throughout the week. I'm welcome back to episode 10 of realistic nutrition tips. make a vegetarian that you can eat. so let me show you what I'm going to put in my weekly veggie tray this week. this week I'm having carrots, cucumber, bell peppers, celery and tomatoes, and for the dip I made my favorite cottage cheese dip for more protein. I will not stop talking about this tip because even if it had no nutritional value, I would still be eating this dip By The Spoonful. I know it looks big, but this fits in the fridge and if you want to grab something, it's just so easy to snack on and the fiber and protein from this will keep you more satisfied. this doesn't have to be every snack, of course, but it lowers the activation energy needed if you just want something easy and nutritious."
IbsXsI9rtAk,"so people have been making ice cream out of cottage cheese. I'm a dietitian and we're gonna try it out today. first, you're going to take a container of cottage cheese, some strawberries, some honey. now we're gonna blend this. after blending, I'm just going to add this to a freezer friendly container, mix in some chopped strawberries and graham crackers and freeze this for around two to three hours. afterwards we have our strawberry cheesecake ice cream and now all we have to do is scoop it and top it with some graham crackers. really quick. just gonna take my Lactaid Bill. I'm very lactose intolerant. all right, now I'm ready. that's good. it does taste like strawberry cheesecake. it's definitely high in protein than regular ice cream, but it's still going to have the added sugars that regular ice cream would. of course, you can always have regular ice cream if you want that, but if you want something that's high in protein and tastes like cheesecake ice cream, this would be a great treat."
29NFFYP6ETY,"welcome back to the series where I show you one week of dinners you can make with one grocery list. for our last day we're making a 30 minute garlic herb salmon dinner. the best thing about this meal is that you don't have to wash a lot of dishes afterwards because everything goes on the baking sheet. I realize that the burden of doing dishes after making dinner makes me not want to cook most of the time because I've already exerted a lot of energy and mental space for preparing dinner. so thankfully, meals like this help me to get something delicious and nourishing on my plate without the intimidating post cooking aftermath."
ft45mlqPlEM,"welcome back to the series where I show you one week of dinners you can make with one grocery list. for day four, we're making one of my favorite go-to dinners. when I'm feeling lazy, I need a home-cooked meal in under 15 minutes. it's a Chipotle bowl and you can add as much veggies as you want. I'm using bell peppers and lettuce. you can season to your heart's content and also add toppings depending on your energy level. since I was filming this, I added avocado, lime and cilantro, but I don't always do that, because sometimes I'm too tired. it's the perfect meal to eat with chips, or you can also use a fork."
VGmnwkepgMI,"if you're trying to eat healthier but are overwhelmed with meal planning, welcome to the series where I show you one week of dinners you can make with one grocery list. for day three, we're making a chicken orzo Bowl. First, You're Gonna marinate your chicken and then cook it on the stovetop and then in the oven. trust me when I say that the hardest part of the meal is over now. you're just gonna cook and season your orzo with some garlic powder and onion powder. last they add some veggies like cucumbers and cherries, tomatoes. you can also top it off with some feta and parsley for more flavor. using raw veggies makes me is a lot easier because it's one less component to cook. so try it out and"
Lo5Xu-8DUN4,"if you're trying to eat healthier but are overwhelmed with meal planning, welcome to the series where I show you one week of meals you can make with one grocery list. for day two, we're having my five minute Sesame garlic tofu. all you need to do is make this sauce with these ingredients. add some veggies, like cucumbers, on your raw tofu- yes, you can eat tofu raw and then drizzle your sauce over everything. it's so flavorful, easy and perfect for the bowl of brown rice. so if you need more easy meal ideas or"
Y0s6IbUNgfI,"if you're trying to eat healthier but are overwhelmed with meal planning, welcome to the series where I show you five simple dinners you can make with one grocery list. for day one, we're making a one pot chicken pesto pasta. first, you're going to season and cook your chicken in a pot. after that's cooked, remove and add your pasta and chicken broth. after your pasta is done cooking, all you need to do now is add in spinach, Tomatoes, your cooked chicken pesto and a little heavy cream. feel free to top with red pepper flakes and grated cheese. it's so delicious, simple and balanced. so if you need more meal ideas or"
m3Xb36V_2vM,"let's make breakfast for my friends. I met them on the Internet a little over two years ago and we've been texting and FaceTiming since. we've been planning this trip for a while. since all three of us have never met in person- though things were busy these past two years- we finally planned for them to visit me in La. at first I wondered if there would be any awkward moments during our trip, but those fears quickly subsided when we met, since we were all extremely compatible. we spent multiple days together and had the best time. I'm so lucky social media introduced us, because we all grew up and lived in different corners of the country and would have never crossed paths otherwise, and now I can't imagine not knowing them breakfast. is that why you're asking our favorite breakfast shoes? [Applause]."
rR1QQZxPDpw,"let's make kimchi. first you're going to sprinkle salt on each leaf, heat water and sweet rice flour until it starts thicken into a paste or porridge. add your porridge to a bowl, then add garlic, ginger, onion, salted shrimp, fish sauce and gochugatu, and now we're just going to mix this. this is what it looks like. now let's start to add some veggies. I'm adding radish, carrots and green onions. now I'm just going to mix this up. after you rinse your cabbage, you're going to coat each Leaf in this paste. kimchi is the first way I learned how to eat cabbage and actually enjoy it. it's a great source of vitamin A, vitamin K and probiotics, and it's been a Korean staple for more than 3 000 years. I grew up eating it at home, so I'm happy it's finally getting the attention it deserves. thank you. now we're just gonna let this ferment."
zfP9yZAgeLY,"this is one of my favorite meal prep tools. I'm a dietitian and welcome to episode 9 of realistic nutrition tips. instead of freezing your soup in larger batches, can be easier to pour them into these portion one cup silicone molds so you can easily pop them out and heat them up for a convenient meal when you're too lazy to cook. it's honestly so much easier than freezing them in bags or plastic containers, which makes me much more likely to use them. you can use them for leftovers, mini loaves, sauces and many other Foods."
2b9z_FwwDlE,"I'm a dietitian and is what I ate for breakfast. if you love a hot saver breakfast but don't want to spend more than a few minutes cooking, try the spring chicken, bone broth, kale and mushrooms to a boil cover and reduce heat to medium for a few minutes, adding quick oats and optionally nutritional yeast, and let's sit for one minute. squeeze some lemon juice on it to balance out the flavor and you could top it with hemp seeds for more healthy fats and protein. this is so delicious, nutritious and easy."
yJspQI7XeoE,"I'm a dietitian and I'm having frozen waffles for breakfast, and I'm gonna tell you why. welcome back to the little Series where I show you what I'm eating and why. before you say ill Kylie, what dietitian eats waffles for breakfast me? the answer is me, because sometimes I need something quick and sweet- and who doesn't like waffles? for some protein, we're spreading a mixture of Greek yogurt, peanut butter, honey and cinnamon on each waffle. for a little more fiber, I'm adding bananas and almonds. you can eat it like this if you want, or you can use some syrup, it's up to you. and now we have waffles, but there'll be a little more filling and nutritious. always remember to focus on what to add to, not what's to subtract from your meals."
fmU41Ymn86Q,"when I was 13 I briefly had a crush on a guy who was really into football, so naturally he asked if I like football. I wanted him to like me. so I said, oh yeah, totally. and then he said: oh, what team do you like? and since we were talking over aim, I had the chance to Google what are the top US football teams, and Indianapolis Colts popped up. so I told him: Indianapolis Colts. I even read a Wikipedia page on the cold so I could educate myself, just in case he asked any questions. either way, he didn't really like that answer because he was a Pittsburgh Steelers fan and apparently they don't like each other anyways, fast, four to seven years later and I met my current partner and he asked who my favorite team is, and at that point in my life I had already learned to not change myself or my interests for a guy that I liked. so I was honest and said that I didn't follow Sports really closely. obviously he said he was fine with this and he admitted that his favorite team was actually the Indianapolis Colts, since he grew up in Indiana. so my background knowledge actually came in handy because I could actually ask him relevant questions about his favorite team. he then asked how I knew so much about them and I told him the story that I just told you and he thought it was really funny. so I made a cannellini bean dip with garlic, lemon, rosemary and oregano. this is a little close-up. I brought it to a Super Bowl potluck and it was so good."
wTGLwZXJ8kI,"my stomach is not having it. today we're making my favorite IBS friendly meal- also one of my favorite meals even when I feel 100- and it is so easy. let me show you. just combine one tablespoon of soy sauce, rice vinegar, maple syrup and miso to add a little garlic flavor, without the garlic, only because garlic is a really common trigger for people with IBS. I add a little free fog. no, this is not an ad, I just really like using it. just mix it together salt and pepper and then coat the salmon with marinade white rice, because that's just easy on my stomach, and green beans because it's a low FODMAP vegetable. it is so good."
PNTmE9wiJB4,"last time I showed you how to cook frozen green beans, so today I'm going to show you how to roast frozen broccoli, specifically how to prevent it from getting soggy. toss the Frozen Flora, some olive oil, salt, pepper, garlic powder and paprika. then space them out on a baking sheet. this is key. it cannot be crowded, because they'll just absorb the moisture from the other broccoli. cook for 20 to 25 minutes at 4: 25, and that's it. I love my broccoli recipe and you can't even tell the difference."
7cqh6oOLuao,"I've been seeing videos of people making sorbet out of frozen grapes, So today we're going to try to do that. all you have to do is add Frozen grapes and a little bit of lemon juice, and all we have to do is blend this. this is what it looks like. let's try it out. oh, it's cold. if you're trying to reduce your added sugar intake, I could see how this could be a great snack. it's pretty good."
FQSPN88ZnAk,here are foods I would never buy as a dietitian. I wouldn't buy this because I prefer the barbecue chicken pizza much more. I wouldn't buy this because my mom had a blueberry waffle face when I was a kid and I ate so many that I can't even look at them. I wouldn't buy this because they're too thin and crunchy and the chocolate chunks aren't as big as I'd like. and I wouldn't buy this because I've been more in the mood for everything- Bagels because they're so flavorful.
DKbanV5SCxs,"and this is episode 8 of realistic nutrition tips. instead of buying fresh produce and having it go bad before you finish it, let me show you how to cook some frozen veggies. today, I'm going to specifically show you how to cook frozen green beans. add your frozen green beans and a little water to a pan over medium-high heat, cook for a few minutes or until the water is gone and the green beans aren't Frozen anymore. add a little oil to the pan, some garlic and season with salt and pepper. they're cheaper and they're just as, if not more, nutritious than fresh green beans."
kEOu0kEMFTo,"I like protein bars, but I love my no-bake chocolate peanut butter protein brownie even more, because not only do they have 10 grams of protein, but they're so delicious and so easy to make. let me show you how to make them. you're going to mix together almond flour, two scoops of chocolate protein powder, a fourth cup of cocoa powder, 3, 4 of a cup of peanut butter, one and a half tablespoons of maple syrup and two tablespoons of milk. you can even mix This Together yourself or use like a food processor or blender. I'm gonna transfer this into a lined loaf pan and now you're going to press it down until it's an even layer. it's gonna look a little something like this: and now spread half a cup of melted chocolate chips over the brownie, and now I'm just gonna freeze this for 20 minutes. after 20 minutes, the chocolate should be solidified, so go ahead and cut it into eight pieces. this is what it should look like. let's try it out. um, I'm not saying you should have this in place of a candy bar, but this literally tastes like a candy bar."
DxFc-CWBu_g,"so I saw a video of someone who was toasting their tofu. So today we're gonna try it, but instead of putting the tofu directly in the toaster, like the person was doing, I'm gonna use these reusable toaster bags so I don't cause an electrical fire. I'm using extra firm tofu and I patted it down to reduce moisture, so now we're just going to put it in the toaster. I toasted it for around 10 minutes and bought the tofu sandwich I saw in the video, which is a slice of tofu, naughty cucumbers, avocado, rice, furukake, green onions, another shot of nodi and another slice of tofu. as you all know, I love tofu and I can eat it in any form, so naturally I like this. so the tofu is toasted, but it's still a little spongy. it doesn't have like a crisp texture, but I could see how it could be even better if I put this in the convection oven. definitely try it out if you're looking for a new way to eat tofu."
R2VK5UM6_xQ,"I'm a writing and this is episode 7 of realistic nutrition tips. you can start today- and this is specifically for all my past lovers out there who hate doing dishes. if you're making pasta and want to include a veggie in your meal, add it to your pasta while it's still boiling. since I'm using broccoli, I'm just going to add it around three minutes before my pasta is done. after I've saved some pasta water and drain this, I just made the rest of my meal in the same pot. this way, it'll be easier for me to get veggies in and it saves me time and the extra effort of having to wash another dish easy."
qjpohStyejU,"this is my super easy and quick 30 minute dinner. just kidding, it took two hours, but did you believe me, like how I believe the food blog that told me this wouldn't take longer than three minutes either way? this is my hiya for dinner tonight, and I wanted to specify that because I always see posts of what people make for dinner and get confused as to how they had the time to make all that food, and sometimes they actually go through the effort of following the recipe and I still end up with a Sapar dish. this one was okay, but I just wanted to remind you that you are valid for not spending two hours on dinner every night. you are also valid if a recipe takes you four times as long to replicate. I'm not eating like this every night and that is totally normal."
96w2vyH05-g,"I'm a dietitian and I'm also technically a nutritionist. however, not all nutritionists are dietitians. let's talk about the differences between the two, because there are big differences depending on what country you're in. in the United States, dietitians must meet the following requirements: graduation from an accredited four-year nutrition science degree program, graduation from a master's program starting in 2024. completion of at least 1200 hours of supervised practice in the dietetic internship, passing the national board exam and completion of continuing education. on the flip side, anyone can call themselves a nutritionist because, unlike dietitian, it's not a protective term, which means anyone who calls themselves a nutritionist doesn't have to have any formal education, doesn't have to have any accreditation, and if they aren't a dietitian, they're not allowed to provide nutrition advice for a specific condition. that said, if you have a certain condition and need nutrition advice, it would be best to see a dietitian. of course, there are some nutritionists out there that are knowledgeable. it may work well with you, depending on what you're looking for, but it is extremely important to consider someone's education and difference in training when making a personal decision for your own health."
FnxEWjYEj_4,"so apparently, heart of palms is supposed to be a healthy, low-calorie snack that resembles string cheese. I'm a dietitian and today we're going to try this and talk about this. this is what it looks like, but you can just peel it apart. so just because it looks like string cheese doesn't mean that it tastes like string cheese. it's a very Briny taste. it tastes very much like a root, if that makes sense. I also heard you can put lime juice and tahin on it, so let's try it that way. this is lime juice and tahin, which I feel I can fix anything right. I think it does taste better, but I feel like everything tastes better with lime juice and tahin. though it is a lower calorie snack, it definitely is not string cheese, but on the upside it is loaded with potassium, copper, phosphorus and zinc. in summary, but if you want to try it, you can try it."
psLBKgXQppY,"I'm a dietitian and this is episode 6 of realistic nutrition tips that you can start today. if you want to increase your protein intake, add bone broth to your rice or quinoa when cooking. one cup of bone broth has 10 grams of protein. this way, your rice will be super flavorful and high in protein."
