,0
10,id: OahN4mwd6C4
11,now think about what breathing problems involve right the diaphragm so you here you have this gallbladder /b duct issue congestion whatever you want to call it that backs up that that breathing apparatus and that can affect your breathing big timeon and this usually can be easily corrected by changing your diet to the healthy version of the ketogenic diet within a minute fasting but as an immediate remedy you want to take something called tdka it's a type of Bol that is very unique because it helps to increase the flow of bile sludge through the bile duck so you would take two of these in the morning on an empty stomach and then 2 in the afternoon on an empty stomach and within a few days you'll just feel a lot better 
12,id: VghsZO9QO_M
13,so right now in your kitchen in your cupboard you probably have this right garlic powder this is like a natural remedy for so many different things okay blood pressure control cholesterol control decreasing your risk for cancer it's antiviral it's actually considered a broad spectrum antimicrobial so if you're concerned about any of the symptoms that I mentioned start including this simple remedy in your foods 
14,id: 9tHeg6Iq1kk
15,there's this carb that is way more dangerous than sugar okay now people tend to think sugar is the worst thing but there's other things that are even worse than sugar and this specific carb is bad and I'm going to tell you why we take a look at the glycemic index where is Sugar well table sugar is about 65 not terribly High where's glucose 100 where is this carbohydrate between 116 and 136 on the glycemic index so in other words it's a carb that's not classified as a sugar but acts like a sugar in a much more deadly way as far as what it can do to your blood sugars it just will really spike it and this carb is called maltodextrin it's in other forms too it's in modified food starch it's in modified corn starch I mean and it's in many foods they put in a lot of sugar-free products as no sugar even though it really to me it is a sugar so start reading the labels and avoid maltodextrin 
16,id: AD2sPmVxcwU
17,zinc is involved in so many different things it's involved in 300 different enzymes and over a thousand different factors related to your DNA its functions are very wide in helping certain enzymes not just for digestion but for a lot of other things and if you can identify early signs of a zinc deficiency sometimes they call it a subclinical deficiency then you can prevent Advanced problems related to zinc and that can include a complete loss of appetite and then you end up having anorexia necrosis because the tissue is not healing and so zinc actually helps with wound healing and if you're deficient in zinc you can develop uh ulcers externally or internally on your body even ulcers in your mouth and even some elderly that have these ulcers because they're in this bed and they're unhealing ulcers or or wounds um they need zinc big time 
18,id: IjQJkjrXCC4
19,I think you already know that stress can also cause disease too right it can cause ulcers heart attacks it can cause osteoporosis it can cause high blood pressure it can cause anxiety depression all sorts of mood problems and it can also suppress your immune system to the point where you develop infections or maybe a virus that was in remission comes out of remission 
20,id: L59jXhtPvNM
21,all right today we're going to talk about Burger King and the impossible burger that you can get for $6.50 so the first ingredient is this completely brand new protein called leg hemoglobin okay it's from a GMO soy so they turned soy into this interesting protein a completely brand new protein the safety studies were only done for 28 days and it's generally recognized as safe because the industry says it's generally oriz is safe there is no FDA approval process all right what's in here we have soy oil corn oil cultured dextro which is synthetic sugar food starch modified which I think is another name for modified food starch soy protein isolates now to make that you have to add hexane which is a solvent and methyl cellulose which is used as a laxative so please tell me what ingredient in here is healthier than any other Burger 
22,id: A2x33zFsTLA
23,my terrible painful heartburn was the best thing that ever happened to me there are three things to do but one of these things that I'm going to share with you will actually correct it let's start with number three you want to add more acid to the stomach like either apple cider vinegar or Bane hydrochloride and that will acidify the stomach and you'll start to feel better all right number two add sea salt to the diet and maybe an electrolyte powder with more potassium because both pottassium and the chloride for the sodium chloride is needed to build hydrochloric acid but the most important thing you can do to correct this problem is to support the valve on the top of the stomach by taking a natural B1 because when you're deficient in thymine which I was you can't produce the acid in the stomach in the first place and of course I was doing so much sugar it was depleting all my B1 and if you want to see the whole video on this go to my YouTube channel and check it out 
24,id: afWHeLiejPY
25,to lose your belly fat there are three tips that you need to know relating to doing intermittent fasting and one of these tips is way more important than the others tip number one make sure you have enough sea salt because if you don't have enough sea salt when you're doing fasting you're going to have keto fatigue you're going to feel tired and weak and you're not going to be able to sleep tip number two do not go into this with any preset fasting schedule instead let your appetite dictate how long you fast for so in other words if you're not hungry don't eat but the most important tip I can give you is this force your body to only burn belly fat 24/7 by reducing your carbs as close to zero as possible and the way that you do that is to combine meat with vegetables skip the breads pasta cereal crackers biscuits waffles pancakes muffin sodas and juice and for more intermittent fasting tips check out my YouTube channel 
26,id: ntQ5IbULu7U
27,if you have any inflammation on the right side of your body okay I don't care if it's fibromyalgia or shoulder pain or a headache on the right side or anything down in the lower part of your body as well suspect something related to the gallbladder and it could be just the bile ducts themselves being congested with what's called bile sludge which a lot of people don't even know about that they they think automatically you have to have a gall stone but not necessarily there could be some sludge which is really the stage before a gallstone develops you start having this super concentrated amount of cholesterol um because there's not enough bile salts 
28,id: W_8nrFXzw_4
29,if you are deficient in calcium you may find that you have this chronic cough okay and you may find that um you're tired but you just can't go to sleep there's something preventing you from just drifting off into a nice relaxed sleep that's a Calcium deficiency uh not to mention you could have cramps as well that could be a calcium or a magnesium deficiency 
30,id: pY1fV-P1YnI
31,"you know I talk a lot about vitamin D but I wouldn't recommend taking vitamin D by itself I would always take vitamin K2 with vitamin D because vitamin D3 increases calcium absorption in your intestines by 20 times and that ends up in the blood so you can have a lot of calcium in the blood which can be a problem for people especially if they're prone to kidney stones or arthritis but vitamin K2 comes to the rescue and that takes the calcium from the blood and pushes it into the bone one of the really important things that vitamin K2 does is to prevent soft tissue calcium from accumulating that could be in your arteries or the joints or any organ so to protect you against any potential side effects of vitamin D3 make sure you take vitamin K2 at the same time as far as the ratios go for every 10,000 I use of vitamin D3 take 100 micrograms of vitamin K2 "
32,id: 6nnp1YJF1OA
33,all right so today we're at one of my favorite restaurants paries okay so today we have some fries which is a great combination between soy or corn canola oil and a starch under high Heats which is going to create cation that's going to accumulate in the body it's going to build up in the lens of the eye and your brain and the tissues and arteries highly inflammatory okay so we also have this right here which is honey mustard and then we have of course our chicken tenders right now lift up the ingredients for that and this is loaded with MSG now there's a bunch of people out line saying oh yeah they just finally found out to fact checking that it's totally safe well why do they use it to fatten rats they actually have to fatten them up with MSG so monoid glate does increase insulin which means it's going to cause a fat liver and make you gain weight and it's going to make you hungrier and this is why when you start eating this you can't stop all right I will see you in the next video 
34,id: DavA5kfaqaU
35,you know so many people have blood sugar problems they're worried about their diabetes pre-diabetes Etc well in your cupboard right now you probably have an amazing remedy it's in the spice rack it's called cinnamon cinnamon has been known to drop your blood sugars because it supports the cells in the pancreas called the beta cells it helps to reverse insulin resistance it helps to decrease A1C and because it addresses the blood sugars it also helps you with all the things that are connected to that like helping you lose weight getting rid of fat off your liver and help regulate your cholesterol but also realize at the same time you take this also get rid of your sugar this is just going to speed up your results so of course when you take cinnamon don't put it on toast with sugar okay you want to get rid of the sugar as you add the cinnamon because the cinnamon will enhance the results you can use it in different recipes you can use it in a shake you can use it in your teas but for all problems related to blood sugars think cinnamon 
36,id: nqpMzWGPxHo
37,if you can't sleep right you're getting less than 5 hours and you have this sympathetic overdrive and you're trying to lose weight good luck it's not going to happen in fact you can work with someone on their diet but boy if the sleep is not right and they're also exercising at the same time you just wasting your time getting someone into a wonderful rejuvenating sleep that can create huge changes in weight loss 
38,id: o_SS8cGGFbI
39,so you have the spine you have all these different ribs that connect to the spine but this articulation between the rib and the spine and your back if it's restricted can affect your breathing very easily now how could that occur well easily from an injury 
40,id: yUNWFEiJb6I
41,all right rabbit D today and we want to talk about these right here um man are these addictive so you have a combination of different oils they're all seed oils corn canola soy soy hydrogenated oils which basically make it thicker we have beef flavoring with wheat and dairy concentrate and don't forget dextrose which is a synthetic sugar now here's the thing you need to know about seed oils when they're under heat you're going to develop something called glycation glycation makes you look older creates a effects like diabetes Alzheimers waine liver fat but there's something more Insidious about this if you're consuming these seed oils on a regular basis they can accumulate to the cells and create all sorts of inflammation and they have a half-life of basically 2 and a half to three years I mean the sugar in ha will burn off fairly quickly but these oils get stuck deep inside yourselves 
42,id: z4Lx1x6mNVc
43,what does acid reflex or silent reflex have to do with your breathing well apparently there's a lot of um sensory nerves in your esophagus that go right to your brain and that will give your brain certain information that it's not getting enough oxygen which will cause you to feel like you have air hunger it will cause you to breathe more and gasp or air it'll cause you to yawn more and when you breathe more sometimes it creates almost not like a hyperventilation but you get too much oxygen and not enough CO2 okay now you would think that would allow you to breathe better but what's interesting about the relationship between oxygen and CO2 is that you need a certain level of CO2 to allow oxygen to go into your red blood cells and so if you have just straight oxygen without enough CO2 you won't be able to get enough oxygen into the cells 
44,id: D318YEnHPeg
45,so I recently did a video on how to get rid of a wart or a skin tag using this amazing amazing remedy that I just stumbled on and instead of giving you the long name for this remedy I'm just going to tell you it's an ahcc this is a shitake mushroom extract it has the ability to clear out the herpes virus okay and this is based on over a 100 randomized control trials so for anything related to the herpes virus you you should check out this ahcc you can go watch my complete video on this topic at drberg.com 
46,id: lCHoCeUdoII
47,what does acid reflex or silent reflex have to do with your breathing well apparently there's a lot of um sensory nerves in your esophagus that go right to your brain and that will give your brain certain information that it's not getting enough oxygen which will cause you to feel like you have air hunger it will cause you to breathe more and gasp or air it'll cause you to yawn more and when you breathe more sometimes it creates almost not like a hyperventilation but you get too much oxygen and not enough CO2 okay now you would think that would allow you to breathe better but what's interesting about the relationship between oxygen and CO2 is that you need a certain level of CO2 to allow oxygen to go into your red blood cells and so if you have just straight oxygen without enough CO2 you won't be able to get enough oxygen into the cells 
48,id: FJj5mY2KS2M
49,so I have a question for you when you're at the grocery store and you are at the tiny little corner of the store called the health food section what does that tell you about the rest of the grocery store what kind of foods are they serving there trying to figure that out did you realize that 83% of all the calories in the grocery store are Ultra processed foods AKA junk Foods Ultra processed foods are not really foods but there's something that don't actually resemble the starting food that they process them from or they refine them from I think it'd be very important especially if you have children to watch my video on alter processed foods um on YouTube because that will give you a lot more information in deciding what you should buy and what you shouldn't buy at the grocery store 
50,id: vSMmAjFCP4w
51,I'd like to talk about vitamin D and magnesium okay did you realize that the receptors for absorbing vitamin D are completely and utterly dependent on magnesium if you have no magnesium you will not be able to absorb vitamin d and vitamin D helps you absorb magnesium the majority of the population are not only deficient in vitamin D but also magnesium and without enough magnesium you tend to get calcium deposits that build up in the joints and the arteries so make sure when you take a vitamin D supplement it also comes with magnesium and the other co-actors 
52,id: f54Fr1Nidaw
53,want to show you how to make the healthiest lemonade in the world now why is it so healthy because it has zero sugars most lemonade has like 7 and 1/2 teaspoons of sugar let me show you how simple it is you're basically going to take one cup of water okay and then you'll squeeze the juice from one lemon or 4 tablespoons of lemon juice and lastly you just add three drops of this liquid Stevia now it doesn't have to be lemon flavored it could just be plain but these three drops will make it very very sweet and very very delicious and I promise you won't even know the difference between this lemonade and the sugar filled lemonade and I think you're going to be shocked to find out how delicious this sweetened lemonade is with absolutely zero sugars 
54,id: U1dEuvAFTNU
55,When you sweat uh it's really salty and then also if you're drinking a lot of plain water without salt you're just going to create a situation where you're going to actually be very deficient in salt just as a side note one of the first symptoms of a salt or sodium deficiency is uh muscle weakness okay you feel very very weak 
56,id: seoNCxlrmM0
57,I want to discuss the top mistakes that people make when they start intermittent fasting number one eating way too much what you have to realize is that when you're not eating you are eating you're eating your own fat so it's not that you're starving mistake number two eating too much of the wrong thing and even if it's keto friendly eating too much peanut butter or almond flour or spinach or even chocolate all are loaded with oxalates and that can make you worse and many times also people eat the wrong type of peanut butter the best type of peanut butter that has the lowest amount of afot toxins is organic Valencia peanut butter and if you add that with celery you can really reduce any side effects or bad things that come along with eating peanut butter and the third mistake that people make is not consuming B vitamins and electrolytes when you're doing fasting because when you fast you might exaggerate an existing deficiency that you already have 
58,id: Nrl_X5wE0uw
59,I want to discuss the top mistakes that people make when they start intermittent fasting number one eating way too much what you have to realize is that when you're not eating you are eating you're eating your own fat so it's not that you're starving mistake number two eating too much of the wrong thing and even if it's keto friendly eating too much peanut butter or almond flour or spinach or even chocolate all are loaded with oxalates and that can make you worse and many times also people eat the wrong type of peanut butter the best type of peanut butter that has the lowest amount of afot toxins is organic Valencia peanut butter and if you add that with celery you can really reduce any side effects or bad things that come along with eating peanut butter and the third mistake that people make is not consuming B vitamins and electrolytes when you're doing fasting because when you fast you might exaggerate an existing deficiency that you already have 
60,id: vDa8341QhNw
61,"so I wanted to respond to an article um on how OIC in wovi could break the Health Care system because now if you have these weight loss drugs that are actually helping people lose weight and so now insurance companies and Medicare and now have to pay for all this medication which is very very expensive it's over $1,000 a month you know on one hand you might think well wow if someone loses weight they'll have so many Less Problems healthwise right but with OIC in wovi it comes with a package I mean I know people taking it now are developing end problems thyroid issues muscle issues you see the big problem is that this solution comes with a package it comes with bigger problems the hcco system is already broken the system focuses on treating symptoms and giving you side effects which you then need more treatments for honestly I think the greatest thing that someone could do is get on the ketogenic diet with inter a minute fasting and they wouldn't need to be taking medications over and over and over for the rest of their life if you want to know how to do it in a healthy way go to drberg.com right now "
62,id: Hz6EBeJP3vI
63,there's even a condition called e a that's a condition where the person is water logged okay and it's creating a lot of swelling in the brain and that could easily come from just drinking too much water and this often occurs when someone is exercising and so this really pertains to athletes and people that exercise a lot especially people that do marathons and they're drinking a lot of water it could be quite dangerous 
64,id: RW7STOpaRvg
65,you know the other day I was shopping at the grocery store and I bought this right here keto friendly Duncan hindes chewy fudge brownie mix right is it too good to be true the answer is yes because when you actually read the ingredients it has a lot of great things but then it says it has modified tapioca starch what is that that is mtto dextrin this is like way worse than sugar on the glycemic index table sugar is 65 glucose is 100 maltodextrin is between 116 and 136 so when they say zero added sugar they're putting this carbohydrate in it that acts like sugar even worse than sugar you see they get you because they say it has zero grams of sugar but the carbs in here are way worse than sugar because they spike your blood sugars worse than sugar so the moral of story is read the ingredients even though it says ketofriendly 
66,id: 6jSpyG0rRT0
67,so I have a question for you if you can answer this out of all the ingredients to ultrapress Foods or junk foods which ingredient out of all of those is the absolute worst and has the biggest negative influence over your health go ahead and comment down below I'm very curious what you're going to say and then in my next video I'll tell you what I think 
68,id: QifjPgYfIiE
69,takes is just a little bit of exercise to produce significant health benefits and I'm talking about lowering your risk for certain diseases and increasing your longevity living longer it doesn't take much exercise so hopefully this uh video will inspire you to start exercising doing some type of physical activity on a regular basis because exercise is the most potent natural medicine for living longer and counter ing diseases and I'm going to recommend over time that you um really work on establishing a fitness Reserve which correlates to a health Reserve that extra bit of Health buffer to counter these stresses that come in on our body and affect us in a negative way 
70,id: aT0rBaHMRns
71,did you realize that 71 to 83% of all the calories sold in the grocery store are what's considered ultr processed foods so this is food that has been severely altered to the point where it doesn't actually resemble food anymore and I'm talking about uh modified starches they might take some soybean right and extract the oil with all sorts of solvents and chemicals and then you end up with these vegetable oils so we have all the cereals the breads the snack foods then you have the canned foods and you have all the soda drinks and unfortunately these Ultra processed foods are very quickly replacing our traditional foods 
72,id: iwsdIX0_qK4
73,now you may just end up quitting sugar after watching this video I'm just warning you don't get mad at me I'm just the messenger there are 703 meta analysis that make up 8600 different studies on sugar and the conclusions are a high amount of added sugar okay is significantly associated with 45 negative health effects ranging from diabetes to asthma depression stroke heart attack gout hyper tension dementia cancer and early death 
74,id: oEvhzW_lbTM
75,"so there was a quite large study there was I think over 80,000 people involved in this study called the nurse's health study and they looked over four years of who gained weight and who didn't gain weight and they looked at variables and they found an interesting uh association between drinking coffee and losing weight they found that increasing one cup of coffee unsweetened or decaffeinated every single day resulted in a moderate reduction in weight about .12 kg and they also observed that those who added sugar to their coffee actually gained weight I think it was like 09 kg well the problem with the study it's an observational study which means they use questioners which means that it's very very weak and not too credible so to lose weight I wouldn't put all your eggs into that one basket of drinking more coffee each day instead I have a great idea go to my site and download the healthy version of the ketogenic diet and that will help you lose weight "
76,id: fbIz1ozqRYQ
77,[Music] [Music] [Music] yeah oh my [Music] [Music] God that is awesome I want to do that I want to do that in fact I got my device in the mail so I'm ready to hook myself up I I'll show you in the next video 
78,id: Y8XQNFyMe8M
79,what is the number one best anti-inflammatory food in the entire world can you take a guess you think it's omega-3 Fetti acids fish oils not even close there are so many things that create inflammation we have gluten we have refined sugars seed oils alcohol junk food etc etc but most inflammatory conditions I'm talking about autoimmune I'm talking about arthritis type problems originate in the gut and you can drink all the fish oil you want it's not going to do anything you must change your diet okay and the primary food that I'm going to recommend that can heal the gut which is the food that has the most glutamine glutamine is like a Healer of your gut and the food that has the most glutamine is red meat okay beef that is the food that is the best healer for your gut 
80,id: KD2zUbWrkAM
81,all right another Factor that's very important is the frequency of eating okay if you're snacking if you're eating between meals if you're even eating three meals a day that can slow things down why because one of the triggers for insulin the fat storing hormone is eating in general so the less you eat the better the less you snack the better any food uh will stimulate insulin and then that will make you a little bit more hungry so we want to get you in a state where you're um burning your fat and you're satisfied and you're not hungry anymore so we want to combine the low carb with eating less frequent like 2 meals a day or even one meal a day that will produce huge effects and because you're not craving it'll make it easier to do 
82,id: wi6SHudf2PY
83,there's other things that cause a deficiency of biotin that you need to know if you consume raw egg whes because it locks up biotin if you're on the ketogenic diet your demand for biotin goes up because of how much fat that you're consuming and how much more of an increased demand biotin is going to be needed to deal with the fat this could explain why someone that goes on a ketogenic diet without necessarily enhancing their diet with biotin could potenti end up with either a skin rash or hair loss or hair thinning 
84,id: 32K_bo7E66M
85,foods that create the most inflammation would be related to something like gluten which actually is in grains most of the grains create inflammation in your gut most people with arthritis don't know it but their grains that they're eating are creating a lot of inflammation then you have the obvious things like alcohol sugar junk Foods another name for Junk Foods would be ultr process foods did you realize that 83% of all the calories in the grocery store are Ultra process foods and we wonder why our digestive system is so messed up 
86,id: Kfn7YpAlmPs
87,now I hate to break this to you but that mother and the oppsite of vinegar and the bottom of the bottle is not what you think what you've been told it's a special mixture of friendly bacteria and maybe certain enzymes that are going to help you well what they didn't tell you is this you can't see friendly bacteria you can't see enzymes what that sediment really is at the bottom of the bottle it's un filtered fiber many companies that have the so-called mother actually Heat their aloid of vinegar they use high pressure and both heat and high pressure destroy those enzymes and friendly bacteria so the secret of having the true mother in an alider vinegar bottle is finding a company that sells raw alider vinegar that doesn't use high pressures and the one that I like the best is called fairchild's not brags but fairchild's aloc cider vinegar 
88,id: Ba6QLhycpy8
89,[Music] [Music] [Music] yeah oh my [Music] [Music] God that is awesome I want to do that I want to do that in fact I got my device in the mail so I'm ready to hook myself up I I'll show you in the next video 
90,id: _achdhdxIH0
91,developing more Fitness also improves your insulin sensitivity so if you had insulin resistance at one time developing more of a fitness Reserve can greatly help your blood sugars and allow you to get to a place where your insulin now finally works if you're struggling with like the dawn phenomena where you wake up with your blood sugars higher well one way to cter that is just to build up your Fitness Reserve 
92,id: gO0mUN3MAoM
93,if you wanted an amazing drink to drop inflammation in your body especially inflammation in your gut here's the best drink and this is based on a YouTube video that I did recently but I will say you need a juicer for this but you're going to juice cabbage okay it's the cabbage juice fresh and raw and organic that is high in glutamine that can really help your gut heal if there's any inflammation or there's an ulcer apparently there's a vitamin u in cabbage that can greatly help you so I would recommend to juice one glass of cabbage juice every single day drink it down and watch your inflammation disappear 
94,id: 3BbcD0fjfno
95,so I'm really excited to speak at the upcoming Health hacking event forly called ketocon and so the topic of my uh presentation is going to relate to the ketogenic diet and how to implement uh prolong fasting with the ketogenic diet in a very unique way and I'm also going to be sharing with you the real deeper reason why keto and low carb is being censored so you don't want to miss this I can't wait to meet you in person I will see you at the end end of May 
96,id: 9vBO3ejBoMA
97,my fair share of bumpy roads and heavy winds that's what made me what I am today now I stand here before you what you see it's a body crafted to Perfection a pair of legs engineered to defy the laws of physics and a mindset to master the most epic of splits who can say where the road go where the day love as your heart only that is awesome unbelievable I need one of those trucks 
98,id: Ika6xrj1L40
99,really got to be careful of these grains uh and consume only grains if you're going to do grains at all that have no gluten and that would be oat quinoa Millet TEF buckwheat and then just like a nut flour you can use almond flour and anytime you are consuming grains nuts legumes things like that you want to germinate those because you want to get rid of certain antinutrients and one being this phytic acid so what you could do is you simply soak these things in water with 1 tblspoon apple cider vinegar and then let that sit for about 7 to 12 hours okay and then you rinse it out and then you can actually bake with it or cook with it whatever and that way you'll get rid of a lot of the antinutrients because this fyc acid will really block the zinc selenium iron calcium things like that 
100,id: 8JySMhsH72M
101,does drinking water actually hydrate you the answer is it depends it depends on what's going on with sodium if you have a lot of sodium in the body and not enough water you're going to be dehydrated but on the flip side if you don't have enough sodium and you have too much water you will also be dehydrated perfect examples let's say it's summertime and you're sweating and you're losing all of this water in sodium and you start guzzling all this water you are literally dehydrating yourself because you're diluting that sodium so sodium helps you retain the water to give you the volume that you need and without the volume your blood pressure drops and you have all sorts of issues so to be hydrated yes you need water but you also need electrolytes especially sodium and this especially is relevant if you have diarrhea or vomiting or you suddenly lose a lot of fluid and electrolytes from sweating you want more information about this check out my video on hydration on YouTube 
102,id: xsvsonsP3BU
103,"ketogenic diet can absolutely kill you this is Steven L lifestyle medicine cardiologist and in this video I'm going to tell you that the ketogenic diet can absolutely kill you we're going to go through what the ketogenic diet is the science behind the risks that the ketogenic diet has and then what you should be doing really to get yourself healthy lose weight and live a long healthy life so if the ketogenic diet kills people why do I have 7,829 success stories a people let say the complete opposite "
104,id: EmGwQA2C1UM
105,one of the most important nutrients for your hair is a simple amino acid called Lucine without Lucine you can very easily develop alopecia thinning of the hair and actually hair loss itself Lucine stimulates collagen especially in your hair making sure your hair is strong and elastic another interesting thing about Lucine is it helps you absorb iron which a deficiency is commonly involved in hair loss so what is the best source of Lucine red meat you can also get it from fish chicken and eggs 
106,id: JeaF9HtuVxA
107,now the second point about probotics is we have to talk about the opposite of a prootic which is an antibiotic um there are things out there that mimic antibiotics as well like glyphosate which is an herbicide in all the GMO foods that you are exposed to and also certain artificial sweeteners can act as an antibiotic as well also antibiotics are grossly overused like for example most respiratory infections are usually viral not bacterial but over 75% of the time doctors prescribe antibiotics for upper respiratory infections most sinus problems are viral okay so if you give an antibiotic to someone with a viral infection guess what it won't work in fact that antibiotic will weaken your immune system so then the virus has an advantage so you might end up prolonging the viral infection 
108,id: QEzFBI-Z7qY
109,so there's a certain amount of sugar that you have to put in certain foods to optimize this Bliss moment this point of like wow this is just delicious and what happens in the brain is you get this spike in endorphins endorphins give you the sensation of pain relief of stress relief of wellbeing of Happiness pleasure so it's training us that if you feel bad or if you want more pleasure you just need to keep eating this thing and this is really what's behind an addiction 
110,id: z-atfvHSsqk
111,there are many uh non-pathological reasons why you might have high blood glucose that don't indicate that you really have diabetes or a problem for example if you test your blood sugars after you just worked out especially high intensity your blood sugars will be higher that's normal if you measured your blood sugars after a stress event your blood sugars are going to be higher if you measured your blood sugars after an infection or a night of not sleeping your blood sugars will be higher but these don't indicate that you just ate sugar or a bunch of carbs so the best way to differentiate between a pathological problem with your blood sugars and another reason it's really by what you eat if you're not eating a lot of carbs your blood sugars should be lower unless there's another reason for it 
112,id: g3zWxCcBeOY
113,if you want to know the most poisonous foods on the planet and I'm not going into sugar refined carbs and Seed oils which we know create more problems than any other food now mushrooms are very very delicious I love them but you have to be careful because there's some poisonous mushrooms out there that could actually kill you the most deadly mushroom out there is called the death cap mushroom and that's correctly named because it can kill you what you need to know is there's an antidote okay and it's pretty much almost every where if you're out in a farm or a field it's called milk thistle just today I was looking at all the milk thistle floating around with these little parachutes all over my yard but the seeds and milk thistle is the antidote to this poisonous mushroom it's also the antidote to the Venom and poisonous snakes Tylenol poisoning and many other poisons so remember milk thistle for a major protection of your liver 
114,id: 2PaIdKUPDkI
115,hey just want to let you know that I'm going to be speaking at the keto Summit in Florida coming up in January it's called Symposium for metabolic Health it's in boa Raton Florida January 12th through the 14th and I haven't done one of these events in a very long time I'm very excited to do one I hope I can finally meet you in person and the last couple years I've been sitting in front of this darn computer sharing information about health but I really really miss meeting people in person that have been watching my content and uh chatting with you so I really hope I meet you at this keto event coming up real soon I put all the details down below go ahead and sign up and I will see you real soon 
116,id: Qk_bJoj8f-E
117,really interesting thing about a diabetic on a good portion of their high blood sugar it may not be 100% from the diet in fact it's not a good portion of their high sugar is because the liver is making too much glucose it's making out of protein and even fat and even ketones 
118,id: rs6Ztq7YrpE
119,now if you want to get more energy you want to focus in on this amazing cell in your body called the mitochondria the mocher is a pre- battery machine it actually makes a lot of batteries and that battery is ATP did you realize that your body actually makes your weight in ATP every single day ATP is the energy currency of the body and ATP is not stored it's made on demand unless you understand it and support it with all the co-actors like B vit vins magnesium zinc coenzym Q10 as well as certain foods that will help build a mitochondria you may find that you're never able to get your energy past a certain point now if you really want to take your energy to the next level search out my video on YouTube that I just released on fatigue and in that video I'm going to show you exactly what to do 
120,id: B1D7bjFMPC4
121,people that have a slow metabolism actually have a very efficient metabolism probably from dieting in the past you go on some diet and then your body adapts and compensates especially if you go on a lower calorie diet and then becomes more efficient so now it can run on a smaller amount of fuel it doesn't want to waste this energy so it's very conservative so it's like a car that gets a lot of miles per gallon right versus the very in efficient motor which is a gas guzzler 
122,id: 1RRwbp9YMLA
123,did you realize that the average person in the US consumes like 60% of their calories from Ultra processed foods where they strip the nutrients out I mean let's just take Doritos for example I used to love Doritos I would consume huge bags of Doritos in college I mean just massive amounts and the next morning I would end up with all sorts of fluid retention in my fingers and my feet and at the time I had no information about health I was the worst so back then I think they put 11 ingredients in these Doritos and now it's I think up to 30 ingredients different flavors that just make it taste like you're dipping a taco with hot wings into ranch dressing and so is there a lot of potassium in Doritos no there's a lot of sodium in all these fast food restaurants 
124,id: 5EnsvmwexjY
