ID,first_three_sentences
ieJ9BbTyvSM,"when my grandma was diagnosed with Alzheimer's three years ago, I was living five thousand miles away in Boston. I immediately moved to LA to be close to my family in Hawaii, to see her more often and help out as much as I could. I think everyone knows what Alzheimer's is, but no one prepares you for what it truly is."
7SFs3rCqc30,"I'm convinced that I've made the best Trader Joe's sandwich and I've been eating it non-stop. I'm a dietitian and this is, honestly, the perfect work from home lunch, and today I'm going to show you how I make it. this is everything you're going to need."
NXJxsV41ZmA,"I'm a dietitian and I'm meeting spam for lunch and I'm going to tell you why. welcome back to the series where I show you what I'm eating and why. I was born and raised in Hawaii, where spam is one of the most popular foods, but when I moved to the mainland I was told that spam was a gross canned meat that I should completely avoid because it's unhealthy."
X09MisWUHJY,"what I ate in a day in New York City. I started off my day with my favorite meal in my favorite place, Raku. I got a quinceanero dawn with extra wakame."
i3qjdX18Quo,confession. the idea of cooking a whole meal from scratch every night is so overwhelming. so this is what I do to make busy weeks easier.
0a790Ti63Gw,"today we're trying the viral cucumber pepper snack. I'm addition and this seems like a fun way to eat vegetables, so I'll try it out and give my two cents on it. all you need are cucumbers, mini sweet peppers, add both to the Bowl, add some ginger dressing, everything but the bagel seasoning and chili oil."
07yNw7rMFWs,"as most of us know, I have ADHD and this is my simple trick for getting in more veggies throughout the week. I'm welcome back to episode 10 of realistic nutrition tips. make a vegetarian that you can eat."
IbsXsI9rtAk,"so people have been making ice cream out of cottage cheese. I'm a dietitian and we're gonna try it out today. first, you're going to take a container of cottage cheese, some strawberries, some honey."
29NFFYP6ETY,welcome back to the series where I show you one week of dinners you can make with one grocery list. for our last day we're making a 30 minute garlic herb salmon dinner. the best thing about this meal is that you don't have to wash a lot of dishes afterwards because everything goes on the baking sheet.
ft45mlqPlEM,"welcome back to the series where I show you one week of dinners you can make with one grocery list. for day four, we're making one of my favorite go-to dinners. when I'm feeling lazy, I need a home-cooked meal in under 15 minutes."
VGmnwkepgMI,"if you're trying to eat healthier but are overwhelmed with meal planning, welcome to the series where I show you one week of dinners you can make with one grocery list. for day three, we're making a chicken orzo Bowl. First, You're Gonna marinate your chicken and then cook it on the stovetop and then in the oven."
Lo5Xu-8DUN4,"if you're trying to eat healthier but are overwhelmed with meal planning, welcome to the series where I show you one week of meals you can make with one grocery list. for day two, we're having my five minute Sesame garlic tofu. all you need to do is make this sauce with these ingredients."
Y0s6IbUNgfI,"if you're trying to eat healthier but are overwhelmed with meal planning, welcome to the series where I show you five simple dinners you can make with one grocery list. for day one, we're making a one pot chicken pesto pasta. first, you're going to season and cook your chicken in a pot."
m3Xb36V_2vM,let's make breakfast for my friends. I met them on the Internet a little over two years ago and we've been texting and FaceTiming since. we've been planning this trip for a while.
rR1QQZxPDpw,"let's make kimchi. first you're going to sprinkle salt on each leaf, heat water and sweet rice flour until it starts thicken into a paste or porridge. add your porridge to a bowl, then add garlic, ginger, onion, salted shrimp, fish sauce and gochugatu, and now we're just going to mix this."
zfP9yZAgeLY,"this is one of my favorite meal prep tools. I'm a dietitian and welcome to episode 9 of realistic nutrition tips. instead of freezing your soup in larger batches, can be easier to pour them into these portion one cup silicone molds so you can easily pop them out and heat them up for a convenient meal when you're too lazy to cook."
2b9z_FwwDlE,"I'm a dietitian and is what I ate for breakfast. if you love a hot saver breakfast but don't want to spend more than a few minutes cooking, try the spring chicken, bone broth, kale and mushrooms to a boil cover and reduce heat to medium for a few minutes, adding quick oats and optionally nutritional yeast, and let's sit for one minute. squeeze some lemon juice on it to balance out the flavor and you could top it with hemp seeds for more healthy fats and protein."
yJspQI7XeoE,"I'm a dietitian and I'm having frozen waffles for breakfast, and I'm gonna tell you why. welcome back to the little Series where I show you what I'm eating and why. before you say ill Kylie, what dietitian eats waffles for breakfast me?"
fmU41Ymn86Q,"when I was 13 I briefly had a crush on a guy who was really into football, so naturally he asked if I like football. I wanted him to like me. so I said, oh yeah, totally."
wTGLwZXJ8kI,my stomach is not having it. today we're making my favorite IBS friendly meal- also one of my favorite meals even when I feel 100- and it is so easy. let me show you.
PNTmE9wiJB4,"last time I showed you how to cook frozen green beans, so today I'm going to show you how to roast frozen broccoli, specifically how to prevent it from getting soggy. toss the Frozen Flora, some olive oil, salt, pepper, garlic powder and paprika. then space them out on a baking sheet."
7cqh6oOLuao,"I've been seeing videos of people making sorbet out of frozen grapes, So today we're going to try to do that. all you have to do is add Frozen grapes and a little bit of lemon juice, and all we have to do is blend this. this is what it looks like."
FQSPN88ZnAk,here are foods I would never buy as a dietitian. I wouldn't buy this because I prefer the barbecue chicken pizza much more. I wouldn't buy this because my mom had a blueberry waffle face when I was a kid and I ate so many that I can't even look at them.
DKbanV5SCxs,"and this is episode 8 of realistic nutrition tips. instead of buying fresh produce and having it go bad before you finish it, let me show you how to cook some frozen veggies. today, I'm going to specifically show you how to cook frozen green beans."
kEOu0kEMFTo,"I like protein bars, but I love my no-bake chocolate peanut butter protein brownie even more, because not only do they have 10 grams of protein, but they're so delicious and so easy to make. let me show you how to make them. you're going to mix together almond flour, two scoops of chocolate protein powder, a fourth cup of cocoa powder, 3, 4 of a cup of peanut butter, one and a half tablespoons of maple syrup and two tablespoons of milk."
DxFc-CWBu_g,"so I saw a video of someone who was toasting their tofu. So today we're gonna try it, but instead of putting the tofu directly in the toaster, like the person was doing, I'm gonna use these reusable toaster bags so I don't cause an electrical fire. I'm using extra firm tofu and I patted it down to reduce moisture, so now we're just going to put it in the toaster."
R2VK5UM6_xQ,"I'm a writing and this is episode 7 of realistic nutrition tips. you can start today- and this is specifically for all my past lovers out there who hate doing dishes. if you're making pasta and want to include a veggie in your meal, add it to your pasta while it's still boiling."
qjpohStyejU,"this is my super easy and quick 30 minute dinner. just kidding, it took two hours, but did you believe me, like how I believe the food blog that told me this wouldn't take longer than three minutes either way? this is my hiya for dinner tonight, and I wanted to specify that because I always see posts of what people make for dinner and get confused as to how they had the time to make all that food, and sometimes they actually go through the effort of following the recipe and I still end up with a Sapar dish."
96w2vyH05-g,"I'm a dietitian and I'm also technically a nutritionist. however, not all nutritionists are dietitians. let's talk about the differences between the two, because there are big differences depending on what country you're in."
FnxEWjYEj_4,"so apparently, heart of palms is supposed to be a healthy, low-calorie snack that resembles string cheese. I'm a dietitian and today we're going to try this and talk about this. this is what it looks like, but you can just peel it apart."
psLBKgXQppY,"I'm a dietitian and this is episode 6 of realistic nutrition tips that you can start today. if you want to increase your protein intake, add bone broth to your rice or quinoa when cooking. one cup of bone broth has 10 grams of protein."
QG6-FQ2U7WI,"I always thought I was lazy, but it turns out I just had ADHD. growing up, I always looked at other people's meal preps and Healthy Lifestyles and, as a dietitian, I thought there must be something wrong with me, since my life didn't look like that, especially since my life is supposed to revolve around food and healthy eating. so I decided to post easy meal ideas and nutrition tips that were realistic for me, in case anyone felt the way that I did."
8US8t96-WEE,"hot take, but breakfast is not the most important meal of the day. dinner is well, at least for me. I look forward to dinner because days have gotten to be overwhelming and dinner is one of the only times I can actually allow my brain to shut off, even if just for 15 to 30 minutes, to enjoy a filling in a hopefully delicious meal while I watch my TV shows or YouTube videos."
qzVuvyn4w6Q,part two of foods I would never buy as a dietitian. I wouldn't buy this because they're much more fun to eat when they're shaped like dinosaurs. I wouldn't buy this because I ate so much of these as a kid that I almost vomited and now I'm scarred.
uCm007BPvPg,"I'm a dietitian and is what I eat for breakfast, and I promise this only takes five minutes. I cooked quick oats with soy sauce and grated Ginger. after a minute I removed it from the Heat and stirred in white miso."
TQLTuAPMJtc,"I'm a dietitian and this is day five of realistic nutrition tips. and this is more related to cooking, because sometimes the key to good nutrition is taking steps to learn how to make home cooking more manageable. so whenever you're preparing vegetables, keep a mini garbage can or bowl next to you."
z_2PiGgCYIE,Euro Foods I would never buy as a dietitian. I would never get this because chocolate cake is much more delicious than red velvet. I would never get this because I'm extremely lactose intolerant and will have diarrhea.
H0f4_XHNRNs,apparently the raw carrots out that I'm about to show you is supposed to balance hormones. I'm a dietitian. let's see how it tastes and talk about whether or not this works.
SFLfz3K_21A,"let's make a dish for a cultural food party, so we're all supposed to bring food from our own culture and I really thought about this because, although I'm Japanese, being from Hawaii is obviously a big part of my identity and it's so underrepresented, given how small the population is. so I decided on show you chicken, given it's a Hawaii dish with Japanese flavors, and also because it's easy to prepare and there's going to be around 20 people there and I feel like everyone deserves their own dye, which means I have to cook 20 thighs. so I have 10 dies in this pot and 10 dies in this pot."
lExxiSII-lA,"do you like smoothies but hate cleaning it? let me show you this easy trick: instead of soaking this and then just not washing it until hours later, pour some water and some dish soap and blend, and now all you have to do is dump it out. personally, I'd scrub this again."
nsN68mzmPrw,"I'm a dietitian and this is day four of realistic nutrition tips. if you're like me, the sheer idea of gathering ingredients for smoothies in the morning to make a smoothie can sometimes be overwhelming, so I like to make it easier for my future self by doing this. it's as simple as portioning out your ingredients to freezer friendly containers."
AkrXs5WxjT0,"meal prepping can be hard, so let's prep my easy mason jar noodles. let's add the base first, which is chili, garlic oil, soy sauce, sesame oil and vegetable better than bouillon. then add kimchi, snow peas, shredded carrots and bok choy for veggies and Tofu for protein."
27IqAin0tYw,"I'm a dietitian and these are mindsets about food that need a change in 2023.. I saw someone do a video on this and really enjoyed it, so I wanted to do my own version. just because something is non-GMO doesn't mean it's healthier."
z9ZwQVUIIkE,"what I did on my last day home in Hawaii. first, I went to the kakaako farmers market to shop local walk around and eat. I got a steamed bow bun, which was so good."
SF9LzyUK5OQ,"every time I come home I visit this Indian vegetarian restaurant. I had a close friend pass away unexpectedly a few years ago and she used to share places. she loved the people she loved, and this was one of the places that she shared with me and the rest of our friend group."
ACzq2lsX2k8,"as an Asian American, I feel conflicted about my culture, and not because I'm not proud of it or anything, but because I feel like there are aspects of my Japanese and Okinawan culture that I'm not even familiar with, since so many Asian immigrants, including my ancestors, came over to Hawaii to work on the plantations 150 years ago. most Asian people in Hawaii aren't first-gen and, as a result, there are parts of that culture that are just lost along the way. in my case, we don't prepare an entire ossechi, which includes all these Japanese New Year's meals, though we do prepare parts of it."
vH4le-bGWtc,"let's make a Japanese New Year's dish together. namasu is an easy vegetable side dish that takes very little time. first, peel your diet cone, then peel your carrot."
4zcFowmtEQw,"let's make an easy dinner while I'm home in Hawaii. this is honestly one of the simplest recipes and it takes less than 30 minutes. today we're making teriyaki chicken, which is a popular Japanese dish that's commonly served in Hawaii."
EJiJmk7Jwho,"everything I ate in a day while in Hawaii. first, I had this breakfast: bibimbap with carrots, bean sprouts, water, spinach, kimchi, mushrooms, egg and rice, and this was so flavorful and the perfect way to start my day. for lunch, I had to show you Aji poke bowl with rice and a salad from FoodLand."
QGor7f96ai8,"I'm back home in Hawaii. let's make chapty for a Christmas dinner today, making chopje, which is a popular Korean dish with vegetables and noodles, and I really wanted to make it for my fiance, Alex, whose favorite dish is chop Jay, and for Alex's Korean Grandma, who is also going to be at this Christmas dinner. I remember meeting her for the first time over seven years ago, and she brought chopche to my very first Christmas dinner with her family."
-UZpmlhPiR0,"everything I ate on my flight home to Hawaii. for dinner I had this garlic pesto and diced tomato, chicken bagel roll with Maui style chips and a Honolulu Cookie Company cookie. The Bagel rule is fine, basically everything you would expect, but I did love this cookie more."
n7GoqHolyLk,"what I ate at the unforgettable Gala, which is an annual Gala that celebrates aapi leaders like simulu, Batman Rock, Sandra Oh, Stephanie Shu, Chloe Kim and many more. first, I started off with this delicious Sesame salad. honestly, any salad with Sesame automatically wins in my book, and bretman himself even said it was so good."
Nq2NqlazqBA,"let's make food for a picnic. let's start with preparing our tuna. speaking of tuna, I used to hyperfixate on tuna sandwiches from Subway as a kid and I would always get the worst stomach aches after eating them."
EcUmgWbzMmU,"I'm a dietitian and this is what I eat for breakfast. first I boil my eggs for six minutes and then transfer it to cooled water. then I mix together soy sauce, water, garlic, honey, jalapeno, pepper, green onions and sesame seeds."
HtmeDIp4QhY,"I'm a dietitian and this is day three of realistic nutrition tips. if you can't stand cooking and the idea of cooking vegetables stresses you out, get one of these to microwave steamer and it's going to make your life so much easier. all you have to do is put water in this compartment, put this on top on top and then put your veggies on top."
Hx5LMQdtmK8,"how I get my hair from this to this with no heat. first I put my heatless curling rod on my head, then I roughly divide my completely dry hair into small sections and wrap each section around the rod. I work my way down and tie my elastic tight around the rod, then just do the same thing to the other side."
IfGp016IaBM,"I'm a dietitian and this is what I eat for breakfast. if you crave something Savory in the morning, this is for you, because I'm making Savory oats. yes, oats can be Savory and they're so much better this way."
8gIWivpcAfw,"so apparently, grapes tossed in lime juice and Jello powder are supposed to taste just like sour candy. I'm a dietitian and we're gonna try this out, so I have washed grapes here and now I'm just going to coat this in lime juice. so now I'm adding the strawberry jello powder to this container and the orange yellow powder to this container."
6shs5fSofi8,"I'm a dietitian and I have IBS. let's get my IBS friendly meal for when I'm not feeling well. first, let's make the marinade for a chicken."
C7WP_oNlwXM,"I'm a dietitian and I'm eating instant Ramen for lunch, and I'm gonna tell you why. welcome to the little Series where I show you what I'm eating and why, before you say, oh, this is so processed and so high in sodium. I would never then don't, but I will."
ksCHUIWJdOM,I'm a dietitian and here are three foods that I'm avoiding this Thanksgiving. one: cherry pie because I don't really like the taste and I strongly prefer pumpkin pie. two: mac and cheese just because I'm painfully lactose intolerant and this would send me into an IBS flip.
IP0bxHmNzp4,"let's make cornbread for Thanksgiving. I didn't like cornbread much growing up, but then I had this cornbread. I always associate it with my grandma because she made it so often and since she has late stage Alzheimer's now, it makes me remember the times where she was able to cook, eat, talk."
mLboOEwl1yA,"let's make a friendsgiving dish together. Thanksgiving used to be my favorite holiday growing up, but when I went to college it suddenly became the holiday that I liked least, mostly because, as many of you know, I went to school in Boston and I could not make it home to Hawaii for Thanksgiving. my freshman year, this girl was like, oh, are you going home for Thanksgiving?"
LaxZ1MN_HII,"are you constipated? well, apparently there's something called an internal shower, which is a drink made of water, chia seeds and lemon, and it's supposed to naturally relieve constipation, just like that. I'm a dietitian and we're going to try this out."
4aJ0gHbis38,[Music]: hoes going back. [Music].
76xHImc2-qc,"I'm a dietitian, and let's me apart for the week. in under an hour we're going to start with making some rice. now we're going to cook our chicken and I promise the next steps are super easy."
7aQFot1gb0Y,"so I could get my first two surprise bags from. too good to go. I feel like I've been seeing this all over the Internet recently, if you haven't already seen those videos."
NnQRppljPtk,"I spent an afternoon at the LA Google YouTube office and here's what it looks like. I first got lunch with Mary Jo, my partner manager at YouTube, and Brittany, my manager. they did so many delicious food stations and everything was free."
1aHZX6UNVts,"so apparently, Frozen Cool Whip is supposed to taste exactly like ice cream but be lower in calories and healthier. I'm a dietitian and we're going to try this out. I have nothing against Cool Whip, but it's still not ice cream."
pDxmaka1kwk,"really, what's your major? oh, it's mathematics. wow, you're so smart."
ck6YJBDgavw,"I'm a dietitian and I hate meal prepping, but today I will be trying again, so let's me open my lunch for the next few days. I personally find meal prep overwhelming, especially when I'm trying to find meals I like and not get bored of them. but I'm hoping I can figure things out in this series- and hopefully you will too, because I'll include everything I made in each video."
GUAf4qm-vKM,"I hate meal prepping, so let's make super easy: gochujang, Sesame, mason jar noodles that require minimal effort. add your base first. mines is better than bouillon."
5mfqCV9X4F8,"is not chicken, it's actually shredded tofu, and this barbecue pulled tofu sandwich I'm making is really easy and quick to prepare. I just tossed it with a sauce, baked it and heated it on the stovetop with barbecue sauce. pair it with your favorite coleslaw and some fries, if you want, and you'll have an easy, delicious dinner."
fhiYTPE4aKQ,"I'm a dietitian and what I ate for lunch. add rice to a sheet of nodi, then sliced cucumbers, some tuna mixed with sriracha and mayo and sliced avocado. top with another thin layer of rice and fold into a square wrap."
wIZXalKXqaA,rating Foods I had in Amsterdam. I had to try Indonesian food here. I got everything you see on the screen and it was life-changing.
Fvh1eJeOupQ,"come with me as I take a cooking class in Paris. before we cooked anything, we visited the local markets and interacted with the local vendors. there, we were able to determine which ingredients were fresh and in season, which then shaped our meal."
36gbl51LLDA,"reading meals I had in London. this chicken kebab was so full of flavor so I'm giving it a nine and a half out of ten. I'm docking it half a point because it was a little spicy and my stomach needed to rest after this, but that was entirely my fault."
oYWxNy7DNR4,"what I ate in a day in London for breakfast, diet eggs with sourdough, toast, sauteed spinach, roasted tomatoes, mushrooms and black Penny beans. this was such a good breakfast and the beans were the best beans I've had in my life. I always like to make sure I'm having a filling breakfast on vacation, since I've been walking around so much and I need to make sure I'm properly energized."
IfTkrdu-Yfs,"everything I ate on my 11 hour flight to London. for dinner I had to choose between a chicken fajita or vegetable cottage pie, so I chose the chicken fajita and got this. this came with a small piece of bread and a brownie- the chicken feed."
fSf2ZEVS2wk,I went to college more than 5 000 miles away from home. make dinner with me. they talk about how it changed the way I viewed food.
rcOw_moqt2c,"it's time to meal prep my mason jar noodles. you might have already seen my first mason jar noodle video, but this time we're doing a miso broth. so start with miso paste- better than bouillon, vegetable base- and soy sauce, cabbage, shredded carrots, Tofu for protein, noodles and green onions."
uQpqwR5H9hY,"i'm not usually a mushroom girl, but i am an enoki mushroom girl, not just because they're fun to eat, but also because they're high in vitamin b3. just rinse them, pat them dry and mix together gochujang, soy sauce, sugar, medium and sesame oil. add them to a pan with oil and garlic and then add in the sauce- so much tastier than your average mushroom and so fun to eat, which is why."
vWSsO_88BVc,"let's meal prep. my mason jar noodles- you've heard of mason jar salads, but this is even easier. start with your base: i'm using soy sauce, oyster sauce and better than bouillon."
-jiJ8IzO17U,"i'm a dietitian and i used to absolutely hate food. make lunch with me, as i tell you why. i grew up as a really picky eater, like to the point where i didn't want to eat food."
L9Ydf8ZNfDE,"so I got a box today and I'm pretty sure it's my Creator award for reaching 100 000 subscribers, so I obviously wanted to share with you guys. first, since it's all thanks to you guys, let's unbox this together. I know it's not like the craziest accomplishment ever."
pbXxMRAQvms,"I'm a dietitian and this is day two of realistic nutrition tips that you can actually start today. I'm about to tell you one of my biggest tips: focus on adding, not subtracting. instead of saying that bagels have carbs and that we should avoid them, let's ask ourselves: what can we ask them?"
WHtf5FhFfAY,"i'm a dietician and this is what i eat for breakfast. first, add rice paper to a hot pan, then chili oil and egg scallions and top it off with cupid mayo and sriracha. fold it in half and that's it."
UlVKpXOLtxg,"i'm a dietician and this is day one of realistic nutrition tips that you can actually start today. this tip was life-changing for me personally. i used to get the worst stomach aches and bloating when i was a kid, but it's because i eat too fast and finish my whole meal in like five minutes."
awDtGXJsOUI,"this is part five to five things i would personally never do after working as a dietitian. let me know if you wanna hear more, because i have more of these. one, i would never tell people that they have to avoid canola oil."
ToUeoX5CPsc,"make an easy dinner with me as i tell you fun facts about myself. as you may already know, my name is kylie, i'm a dietician and i'm 27.. i was born and raised in hawaii, but i went to college and lived in boston for eight years, but i moved to la last year to be close to my family and also to be warmer, really sick as a kid and had a lot of eating issues. so i saw a dietitian and that's how i first became interested in the field."
TKxAHxy1o7g,tell me what you like about them. [Music].
zfC6Q0lS1sI,you.
8ygg9jrtVpg,"i'm a dietician and this is one of my biggest recommendations. blend your cottage cheese and make it into a high protein dip. add cottage cheese, garlic, chipotle pepper, cilantro and lime juice in a food processor or blender and blend."
JeU4M9Phzrs,"five things I'll never do after working as a dietitian. I have more of these, so just let me know if you want to hear more one: I will not be spending extra money on alkaline water. our bodies do a great job at regulating pH on its own."
Sog9EN6e2Rk,"this is part three of five things I would personally never do. after working as a dietitian, I have more of these, so just let me know if you want to hear more. one: I will not be avoiding MSG."
JcPB-Dp6erw,"this is part two to five things i would personally never do after working as a dietitian. as i said before, i have a lot of these, so let me know if you want to hear more. one: i wouldn't buy organic just because it's healthier, because it's not."
wYi6NqCUUEk,"these are five things i personally never do after working as a dietitian. i have so many of these, so let me know if you want to hear more. one: i would never do a juice cleanse."
oXc7BMF9IoM,foreign.
k3WztZdGB5I,"the most delicious high protein dip and you won't believe what it's made out of. first, blend cottage cheese. trust me, i don't love the texture, but the blender makes it light and fluffy."
PGVkXNhXPME,[Music]. [Music] you.
dWyy0Ja8t44,"boy. well, tell me what you like about him. [Music]."
zXfKuvuRRu8,"today i'm going to share with you what i tell people when they say they want to start eating healthier. you want to focus on adding, not subtracting, which means you want to focus on what you can add to your diet instead of what you want to take away. let's take this bowl of cereal."
T-GfxayE67U,"as you all know, i'm a dietician and there's something that many of us have been hiding from the public that i want to come clean about. what i'm about to show you is an extremely concerning study that many of us are trying to cover up, because it basically discredits everything we've been saying, and it also shows how much the government has been lying to you, and i'm nervous about what's gonna happen to me after i post this video, but you guys deserve to know the truth. but here it is."
qxqegEG73Po,"[Music] to pump me up, feeling fussy, walking in my ballistics trying to bring out the fabulous cause i give a [ __ ] wait, so much."
NPzcK-nbVkQ,my name is kendall. i'm a model. my favorite part of my body is my height.
sXCadXZX8mk,"if you're new here, i'm a dietician and people always ask: what are your favorites in trudeau's like, what do you love? and boy, do i have a list for you. this is the most underrated product of all time."
9H4GWbpLng0,"let's make an easy dinner while i'm home. let's make an easy dinner while i'm home in hawaii. i don't see a lot of koi recipes on here, so i figured i'd share one of my favorite ones that you can make at home even if you're not in hawaii."
KfO5abKC55U,"as we all know already, i'm a lazy dietitian and today i'm going to show you my one minute no cook trader joe's meal. so first i'm going to take a little bit of this bruschetta sauce- and i'm not italian, so i'm so sorry if i pronounced that wrong. i realized i didn't show the container super well, but this is what it looks like."
VNd4Bx2MWK4,"if you have a perfectly normal poop every single day and have never had stomach issues, this video is not for you. okay, now that i'm a hot girl, stomach issues are here. let's make a super quick and easy ibs friendly dinner."
jfYbXMq93n0,[Applause] you.
A2LLKqX8Phg,"i'm a dietitian and today we're going to have natto, which is fermented soybeans- a very healthy, traditional japanese dish. so you're going to want to mix it just like that. then you're just going to put the sauce on, mix it again."
wsO61VOTUfw,[Applause] you.
O8YAE94zlws,"today i will be worsting my ibs to show you a super easy meal that you can make in under 10 minutes. i might be a dietician, but i'm just like you. sometimes i'm lazy and tired and sometimes i want to cry instead of cook."
f_zfbwg-w7E,[Applause] you.
4V6N0ivnfv0,you.
mszjFacdszo,if.
l1ZThDZrofw,"i'm a dietician and let's review what these doctors eat for lunch. looks great. it looks like she also has some greens on her plate, so very well balanced meal."
fziHHReY4jM,"i'm elisa dietician and this is what i ate for dinner. first, to cut up some pizza crust and topped with pizza sauce and mozzarella. now add some veggies."
RTmKGoOaiUo,"dietetics and becoming a dietitian was an eye-opening experience, especially as an asian person in a white dominated field. around 85 percent of dietitians identify as white and since all my professors were white, they weren't familiar with any foods besides the foods they knew, which were foods like kale, salad, chicken and quinoa, and in my training i was taught that these foods were healthy, whereas ethnic foods like the hawaiian and japanese foods i grew up with, were unhealthy. dietetics has struggled with underrepresentation for decades, which can be difficult for people of color who are not properly represented and therefore are told they can't fit their cultural foods into a healthy diet."
czEr4PiXAvA,"so i saw the viral trend of people grating eggs and avocado toast and at first i was a little disgusted, but then i was really intrigued. i just need to know if it's good. so first i'm just gonna spread a lot of avocado on my toes, now we're gonna grate the egg, now some salt pepper, now i'm gonna add some grated parmesan."
-ZDKZzWfNxI,you.
Sk4_KMnL6bQ,[Applause] you.
whmmLF2-ldg,you.
9kyeawQti6M,"me making myself soup every day after finding out how easy it is. so i'm a japanese dietitian and this is how i make miso soup: in five minutes by endashi and four cups of water and bring to a boil. once it's boiling, you're gonna want to reduce the heat."
NysjTea3V9A,shhh.
XhxuutNo2Xw,"i'm a dietician and let's review what these doctors ate for lunch. i love a good soup, especially during the winter, and i like that. the soup has some protein and a lot of veggies."
a4o4XGOSGcI,"how do i eat healthy and lose weight? well, you want to eat fruit, but not too much, because fruit has a lot of sugar and sugar is bad for you. avoid carbs, because it's bad for you and raise blood sugar levels."
8WREPQNfyq0,"if i told you you can eat this and still lose weight? most people get stressed around this time of the year because they're scared to gain weight, so they try different diets in order to lose weight. the most common thing i see people do to lose weight is to cut foods out."
X7RWQeHHc6A,i'm a lazy dietitian and this is what i ate for dinner. [Music]. this is your sign: to get over your fear of tofu and to cook it in a pan.
-dr381d2vMk,"yeah, it's time to organize my fridge foreign."
nd8tZuJKDa4,"hot cake, but raw tofu is delicious and it's the best meal for a lazy person. how do i know this? because i'm a lazy dietitian and this is what i eat for dinner."
lKk_gQ9wxRo,"hope that you choke on a piece of concrete and literally go to hell. i will see you in [ __ ] hell. you [ __ ], [ __ ], you [ __ ] liar, you [ __ ] manipulator."
jjL9LDBiock,"dietitian, and these are things that i think are a waste of money. number one: alkaline water. it's overpriced."
2-hhCcuznc8,the best snack you.
lXYzt1q3hFs,"these are the best and worst asian trader joe's products. part two: i love mochi ice cream and these are actually great, especially the strawberry. the crispy crunchy mochi rice nuggets are tasty and satisfying and i find it weird that no one ever talks about them."
